mirna	target_gene	score
hsa-miR-23a-3p	CCL7	0.9861463
hsa-miR-23a-3p	PRDM1	0.9837954
hsa-miR-23c	HOXB5	0.98239946
hsa-miR-1273h-5p	KCNIP1	0.9815214
hsa-miR-23c	MAP3K1	0.98078996
hsa-miR-548ae-3p	COL4A1	0.98065877
hsa-miR-548ap-3p	RASSF3	0.98012984
hsa-miR-548ae-3p	IGFBP3	0.97981775
hsa-miR-23a-3p	MAP3K1	0.9797997
hsa-miR-23c	ATP11C	0.97956526
hsa-miR-23a-3p	COL4A1	0.97882426
hsa-miR-548aj-3p	IGFBP3	0.9787531
hsa-miR-23c	SOX6	0.9782971
hsa-miR-23c	PRDM1	0.9775195
hsa-miR-6780a-5p	KCNIP1	0.97587854
hsa-miR-888-5p	PRDM1	0.97564507
hsa-miR-23a-3p	ATP11C	0.9751551
hsa-miR-185-3p	FEV	0.9749322
hsa-miR-23c	TRIB1	0.9747354
hsa-miR-548x-3p	IGFBP3	0.97472966
hsa-miR-548x-3p	COL4A1	0.97392774
hsa-miR-4470	SOX6	0.97153556
hsa-miR-1273h-5p	MYO10	0.9714202
hsa-miR-429	LOX	0.9713066
hsa-miR-23a-3p	RBM47	0.9710904
hsa-miR-548ar-3p	PAG1	0.9710215
hsa-miR-23a-3p	TNFAIP3	0.9708701
hsa-miR-1273h-5p	MASP1	0.97086126
hsa-miR-23a-3p	TRIB1	0.9708148
hsa-miR-6129	POU2AF1	0.9708082
hsa-miR-548ap-3p	BACH2	0.97078955
hsa-miR-23c	JARID2	0.9707652
hsa-miR-6888-3p	VAV3	0.9706044
hsa-miR-548ap-3p	SEMA6A	0.970433
hsa-miR-23c	GNG2	0.9699785
hsa-miR-3663-3p	KCTD15	0.96995664
hsa-miR-3680-3p	SOX6	0.96989286
hsa-miR-6715b-5p	SDC3	0.9693731
hsa-miR-23c	TOX	0.9692351
hsa-miR-30c-5p	ADRA2A	0.9691732
hsa-miR-548am-3p	COL4A1	0.9690326
hsa-miR-429	KDR	0.9687866
hsa-miR-1273h-5p	COL27A1	0.96874815
hsa-miR-23c	ZBTB2	0.96853215
hsa-miR-429	ATP11C	0.96714526
hsa-miR-548aj-3p	COL4A1	0.96664095
hsa-miR-548ay-5p	SIX4	0.9665477
hsa-miR-888-5p	MAP3K1	0.96652615
hsa-miR-548x-3p	ZBTB2	0.96641636
hsa-miR-30c-5p	MYBL2	0.96622545
hsa-miR-4495	LOX	0.9659731
hsa-miR-501-5p	KCTD15	0.9659425
hsa-miR-548ap-3p	BCL11B	0.9656988
hsa-miR-548aj-3p	TCF7L2	0.9654052
hsa-miR-548ap-3p	PALM2AKAP2	0.96537536
hsa-miR-1273h-5p	SHISA6	0.96532184
hsa-miR-4728-5p	KCNIP1	0.9652202
hsa-miR-548x-3p	SOX6	0.9652165
hsa-miR-1273h-5p	SAMD4A	0.9651074
hsa-miR-23c	LHFPL2	0.9650733
hsa-miR-548j-3p	COL4A1	0.96483415
hsa-miR-429	PRDM1	0.9639336
hsa-miR-548as-3p	COL4A1	0.9638306
hsa-miR-548ap-3p	PELI2	0.9635685
hsa-miR-4495	ATP11C	0.9635154
hsa-miR-6780a-5p	MASP1	0.963299
hsa-miR-4495	TNFSF13B	0.9631992
hsa-miR-3663-3p	COL27A1	0.9631687
hsa-miR-548x-3p	TGFBR1	0.96287066
hsa-miR-23c	LPP	0.9627386
hsa-miR-4272	IRAK3	0.9622834
hsa-miR-23a-3p	LHFPL2	0.96185446
hsa-miR-548d-5p	FNDC3B	0.96184564
hsa-miR-106a-5p	HAS2	0.9617596
hsa-miR-4269	SDC3	0.9617308
hsa-miR-429	BNC2	0.96136904
hsa-miR-23c	FOXP2	0.9613579
hsa-miR-4728-5p	MPP2	0.9612319
hsa-miR-4728-5p	POU2AF1	0.96097356
