Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of cell differentiation (GO:0045597)	5/258	0.0002754458867379383	0.1098061265256153	0	0	9.734189723320158	79.79231510345004	NEUROD1;IGFBP3;SOX6;TGFBR1;ZFP36L1
GO_Biological_Process_2021	cellular response to growth factor stimulus (GO:0071363)	4/158	0.00043413502743149554	0.1098061265256153	0	0	12.544187519797276	97.11904348932094	SEMA6A;SOX6;TGFBR1;ZFP36L1
GO_Biological_Process_2021	neuron differentiation (GO:0030182)	4/174	0.0006242808905905605	0.1098061265256153	0	0	11.354375896700144	83.78291950228187	NEUROD1;TENM4;PBX3;TGFBR1
GO_Biological_Process_2021	regulation of lymphocyte differentiation (GO:0045619)	2/20	0.0009165786855226654	0.1098061265256153	0	0	51.51679586563308	360.3529107334306	PRDM1;ZFP36L1
GO_Biological_Process_2021	regulation of protein modification by small protein conjugation or removal (GO:1903320)	2/20	0.0009165786855226654	0.1098061265256153	0	0	51.51679586563308	360.3529107334306	TGFBR1;HSPA1B
GO_Biological_Process_2021	ventricular trabecula myocardium morphogenesis (GO:0003222)	1/8	0.0178618448998742	0.1275053104592593	0	0	64.76623376623377	260.6898169568008	TGFBR1
GO_Biological_Process_2021	response to forskolin (GO:1904321)	1/9	0.0200725304633905	0.1275053104592593	0	0	56.66761363636363	221.47987353276545	ADCY2
GO_Biological_Process_2021	negative regulation of protein activation cascade (GO:2000258)	1/9	0.0200725304633905	0.1275053104592593	0	0	56.66761363636363	221.47987353276545	TFPI
GO_Biological_Process_2021	regulation of endothelial cell development (GO:1901550)	1/9	0.0200725304633905	0.1275053104592593	0	0	56.66761363636363	221.47987353276545	TNFRSF1A
GO_Biological_Process_2021	cellular response to forskolin (GO:1904322)	1/9	0.0200725304633905	0.1275053104592593	0	0	56.66761363636363	221.47987353276545	ADCY2
GO_Biological_Process_2021	lipoprotein metabolic process (GO:0042157)	1/9	0.0200725304633905	0.1275053104592593	0	0	56.66761363636363	221.47987353276545	OLR1
GO_Biological_Process_2021	coronary vasculature morphogenesis (GO:0060977)	1/8	0.0178618448998742	0.1275053104592593	0	0	64.76623376623377	260.6898169568008	TGFBR1
GO_Biological_Process_2021	positive regulation of tumor necrosis factor-mediated signaling pathway (GO:1903265)	1/9	0.0200725304633905	0.1275053104592593	0	0	56.66761363636363	221.47987353276545	HSPA1B
GO_Biological_Process_2021	negative regulation of extracellular matrix organization (GO:1903054)	1/10	0.0222783509374741	0.1275053104592593	0	0	50.36868686868687	191.60953052295557	TNFRSF1A
GO_Biological_Process_2021	negative regulation of inclusion body assembly (GO:0090084)	1/10	0.0222783509374741	0.1275053104592593	0	0	50.36868686868687	191.60953052295557	HSPA1B
GO_Biological_Process_2021	L-ascorbic acid metabolic process (GO:0019852)	1/9	0.0200725304633905	0.1275053104592593	0	0	56.66761363636363	221.47987353276545	SLC2A3
GO_Biological_Process_2021	positive regulation of oligodendrocyte differentiation (GO:0048714)	1/8	0.0178618448998742	0.1275053104592593	0	0	64.76623376623377	260.6898169568008	TENM4
GO_Biological_Process_2021	regulation of epithelial to mesenchymal transition involved in endocardial cushion formation (GO:1905005)	1/8	0.0178618448998742	0.1275053104592593	0	0	64.76623376623377	260.6898169568008	TGFBR1
GO_Biological_Process_2021	cAMP biosynthetic process (GO:0006171)	1/10	0.0222783509374741	0.1275053104592593	0	0	50.36868686868687	191.60953052295557	ADCY2
GO_Biological_Process_2021	regulation of chemokine-mediated signaling pathway (GO:0070099)	1/8	0.0178618448998742	0.1275053104592593	0	0	64.76623376623377	260.6898169568008	PADI2
GO_Biological_Process_2021	regulation of alpha-beta T cell differentiation (GO:0046637)	1/8	0.0178618448998742	0.1275053104592593	0	0	64.76623376623377	260.6898169568008	PRDM1
GO_Biological_Process_2021	actin filament reorganization (GO:0090527)	1/8	0.0178618448998742	0.1275053104592593	0	0	64.76623376623377	260.6898169568008	NEDD9
GO_Biological_Process_2021	positive regulation of DNA-binding transcription factor activity (GO:0051091)	3/246	0.0178433464386799	0.1275053104592593	0	0	5.794238683127572	23.328326835387585	NEUROD1;ROR1;HSPA1B
GO_Biological_Process_2021	collagen fibril organization (GO:0030199)	2/89	0.0171238441415082	0.1275053104592593	0	0	10.621758887997862	43.20170352427323	COL4A1;TGFBR1
GO_Biological_Process_2021	transport across blood-brain barrier (GO:0150104)	2/86	0.0160506176078205	0.1275053104592593	0	0	11.002768549280177	45.46352711662799	SLC1A2;SLC2A3
GO_Biological_Process_2021	glucose homeostasis (GO:0042593)	2/86	0.0160506176078205	0.1275053104592593	0	0	11.002768549280177	45.46352711662799	NEUROD1;BACE2
GO_Biological_Process_2021	death-inducing signaling complex assembly (GO:0071550)	1/7	0.0156462838746998	0.1275053104592593	0	0	75.56439393939394	314.1606183022885	TNFRSF1A
GO_Biological_Process_2021	regulation of mesenchymal stem cell differentiation (GO:2000739)	1/7	0.0156462838746998	0.1275053104592593	0	0	75.56439393939394	314.1606183022885	SOX6
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, deadenylation-independent decay (GO:0031086)	1/7	0.0156462838746998	0.1275053104592593	0	0	75.56439393939394	314.1606183022885	ZFP36L1
