Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	4/219	0.0014661541288419	0.128203533245521	0	0	8.95745887691435	58.44842729273326	MAP3K1;ADCY2;TGFBR1;TNFRSF1A
KEGG_2021_Human	Growth hormone synthesis, secretion and action	3/119	0.0024291347077634	0.128203533245521	0	0	12.216133004926109	73.54381034478192	MAP3K1;IGFBP3;ADCY2
KEGG_2021_Human	Relaxin signaling pathway	3/129	0.0030524650772743	0.128203533245521	0	0	11.24092970521542	65.1052817824637	COL4A1;ADCY2;TGFBR1
KEGG_2021_Human	MAPK signaling pathway	4/294	0.0042443380527726	0.1309537146479308	0	0	6.6156433978132885	36.13576497595555	MAP3K1;TGFBR1;HSPA1B;TNFRSF1A
KEGG_2021_Human	Cellular senescence	3/156	0.0051965759780924	0.1309537146479308	0	0	9.244631185807656	48.62449820918101	IGFBP3;TGFBR1;ZFP36L1
KEGG_2021_Human	Transcriptional misregulation in cancer	3/192	0.0091933971244672	0.1930613396138126	0	0	7.470143613000756	35.02951852087303	BCL11B;IGFBP3;PBX3
KEGG_2021_Human	NF-kappa B signaling pathway	2/104	0.0229288734091662	0.2063598606824962	0	0	9.052895576835386	34.17792459138332	TNFSF13B;TNFRSF1A
KEGG_2021_Human	Longevity regulating pathway	2/102	0.0221136967469455	0.2063598606824962	0	0	9.234883720930233	35.199295850238386	ADCY2;HSPA1B
KEGG_2021_Human	Chagas disease	2/102	0.0221136967469455	0.2063598606824962	0	0	9.234883720930233	35.199295850238386	TGFBR1;TNFRSF1A
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	2/100	0.0213109604144821	0.2063598606824962	0	0	9.424299952539156	36.26973658038426	COL4A1;TGFBR1
KEGG_2021_Human	Insulin secretion	2/86	0.0160506176078205	0.2063598606824962	0	0	11.002768549280177	45.46352711662799	ADCY2;KCNN3
KEGG_2021_Human	Complement and coagulation cascades	2/85	0.0156995797883331	0.2063598606824962	0	0	11.135892406836648	46.259848198769376	MASP1;TFPI
KEGG_2021_Human	Lipid and atherosclerosis	3/215	0.0124765950301814	0.2063598606824962	0	0	6.651954177897574	29.16150715814696	OLR1;HSPA1B;TNFRSF1A
KEGG_2021_Human	GnRH signaling pathway	2/93	0.0186011420696274	0.2063598606824962	0	0	10.152823920265782	40.45425483184189	MAP3K1;ADCY2
KEGG_2021_Human	Glutamatergic synapse	2/114	0.0271870939368293	0.2118594275330949	0	0	8.240448504983389	29.706923210882845	SLC1A2;ADCY2
KEGG_2021_Human	Toxoplasmosis	2/112	0.0263115406387279	0.2118594275330949	0	0	8.391120507399577	30.52477872616749	HSPA1B;TNFRSF1A
KEGG_2021_Human	Cytokine-cytokine receptor interaction	3/295	0.0285842084766874	0.2118594275330949	0	0	4.809931506849315	17.09882967338846	TGFBR1;TNFSF13B;TNFRSF1A
KEGG_2021_Human	Osteoclast differentiation	2/127	0.0331585339465294	0.2321097376257063	0	0	7.3786046511627905	25.134885896380784	TGFBR1;TNFRSF1A
KEGG_2021_Human	Apelin signaling pathway	2/137	0.0380688281227297	0.2398336171731975	0	0	6.828596037898364	22.318306672261475	ADCY2;TGFBR1
KEGG_2021_Human	Estrogen signaling pathway	2/137	0.0380688281227297	0.2398336171731975	0	0	6.828596037898364	22.318306672261475	ADCY2;HSPA1B
KEGG_2021_Human	Amyotrophic lateral sclerosis	3/364	0.0483850766449526	0.2903104598697159	0	0	3.876929165017808	11.74152750494838	SLC1A2;TNFRSF1A;PFN2
KEGG_2021_Human	Hepatitis B	2/162	0.0514535128508101	0.2946883008728216	0	0	5.754360465116279	17.07362795054166	MAP3K1;TGFBR1
KEGG_2021_Human	Maturity onset diabetes of the young	1/26	0.05691825984444	0.3118130756695414	0	0	18.118181818181817	51.929228934674526	NEUROD1
KEGG_2021_Human	Circadian entrainment	1/97	0.1966959942368384	0.3588599616075812	0	0	4.701467803030303	7.6450376060783265	ADCY2
KEGG_2021_Human	Dilated cardiomyopathy	1/96	0.1948757299505316	0.3588599616075812	0	0	4.751196172248804	7.770073939870431	ADCY2
KEGG_2021_Human	Staphylococcus aureus infection	1/95	0.193051432861237	0.3588599616075812	0	0	4.801982591876209	7.89829440794978	MASP1
KEGG_2021_Human	TGF-beta signaling pathway	1/94	0.1912230942444782	0.3588599616075812	0	0	4.85386119257087	8.029812951184406	TGFBR1
KEGG_2021_Human	Rheumatoid arthritis	1/93	0.189390705313786	0.3588599616075812	0	0	4.906867588932807	8.164748829380418	TNFSF13B
KEGG_2021_Human	Small cell lung cancer	1/92	0.187554257381389	0.3588599616075812	0	0	4.961038961038961	8.303226925237576	COL4A1
KEGG_2021_Human	Aldosterone synthesis and secretion	1/98	0.1985122344186395	0.3588599616075812	0	0	4.652764761012183	7.523076495426043	ADCY2
KEGG_2021_Human	Morphine addiction	1/91	0.1857137415681219	0.3588599616075812	0	0	5.016414141414141	8.445378081370217	ADCY2
KEGG_2021_Human	Bile secretion	1/90	0.1838691491236021	0.3588599616075812	0	0	5.073033707865169	8.591339444627149	ADCY2
KEGG_2021_Human	GABAergic synapse	1/89	0.1820204712116757	0.3588599616075812	0	0	5.130940082644628	8.741254849452304	ADCY2
KEGG_2021_Human	Salivary secretion	1/93	0.189390705313786	0.3588599616075812	0	0	4.906867588932807	8.164748829380418	ADCY2
KEGG_2021_Human	Glycerophospholipid metabolism	1/98	0.1985122344186395	0.3588599616075812	0	0	4.652764761012183	7.523076495426043	GPCPD1
KEGG_2021_Human	Glucagon signaling pathway	1/107	0.2146787405080519	0.3588599616075812	0	0	4.2557890222984565	6.548010606372095	ADCY2
KEGG_2021_Human	Alzheimer disease	2/369	0.2014547789151582	0.3588599616075812	0	0	2.4824789303592927	3.977403773984705	BACE2;TNFRSF1A
KEGG_2021_Human	Viral protein interaction with cytokine and cytokine receptor	1/100	0.2021326772791743	0.3588599616075812	0	0	4.558310376492194	7.287967841732019	TNFRSF1A
