Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of cell differentiation (GO:0045597)	5/258	9.34140566129715e-05	0.0394207318906739	0	0	12.565982404692082	116.59307474064866	NEUROD1;COL1A1;IGFBP3;SOX6;TGFBR1
GO_Biological_Process_2021	regulation of cellular response to growth factor stimulus (GO:0090287)	2/17	0.0004211879595115378	0.0598172050104048	0	0	78.23137254901961	608.0479736697338	PCSK6;FSTL1
GO_Biological_Process_2021	collagen fibril organization (GO:0030199)	3/89	0.0005468692669122734	0.0598172050104048	0	0	21.01268498942917	157.83259724067076	COL1A1;COL4A1;TGFBR1
GO_Biological_Process_2021	positive regulation of cell motility (GO:2000147)	4/221	0.0006476043132735244	0.0598172050104048	0	0	11.375	83.51787393705796	COL1A1;SEMA6A;NEDD9;TGFBR1
GO_Biological_Process_2021	regulation of chondrocyte differentiation (GO:0032330)	2/26	0.0009963204237941185	0.0598172050104048	0	0	48.872549019607845	337.7797704194284	SOX6;TGFBR1
GO_Biological_Process_2021	nervous system development (GO:0007399)	5/447	0.0011609313396491	0.0598172050104048	0	0	7.123777550722522	48.14628364512365	NOTCH2;NEUROD1;SEMA6A;SOX6;TGFBR1
GO_Biological_Process_2021	cytoskeleton organization (GO:0007010)	3/120	0.0013016844844614	0.0598172050104048	0	0	15.421134421134422	102.45949900343716	FGD6;SEMA6A;NEDD9
GO_Biological_Process_2021	positive regulation of cell migration (GO:0030335)	4/269	0.0013435821835149	0.0598172050104048	0	0	9.291981132075472	61.44244434308663	COL1A1;SEMA6A;NEDD9;TGFBR1
GO_Biological_Process_2021	positive regulation of epithelial cell proliferation (GO:0050679)	3/123	0.0013974651319225	0.0598172050104048	0	0	15.033333333333331	98.81553273033644	NOTCH2;SCG2;TGFBR1
GO_Biological_Process_2021	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	2/31	0.0014174693130427	0.0598172050104048	0	0	40.43610547667343	265.2156512854863	PCSK6;FSTL1
GO_Biological_Process_2021	skeletal system development (GO:0001501)	3/158	0.0028527607191383	0.0708155896162589	0	0	11.61818181818182	68.07636551337548	COL1A1;SOX6;TGFBR1
GO_Biological_Process_2021	cellular response to growth factor stimulus (GO:0071363)	3/158	0.0028527607191383	0.0708155896162589	0	0	11.61818181818182	68.07636551337548	SEMA6A;SOX6;TGFBR1
GO_Biological_Process_2021	positive regulation of epithelial to mesenchymal transition (GO:0010718)	2/42	0.0025921907757449	0.0708155896162589	0	0	29.3	174.48888071240097	COL1A1;TGFBR1
GO_Biological_Process_2021	positive regulation of stress fiber assembly (GO:0051496)	2/44	0.0028416743909962	0.0708155896162589	0	0	27.90196078431373	163.5992917401365	TGFBR1;PFN2
GO_Biological_Process_2021	endothelial cell migration (GO:0043542)	2/39	0.0022384805803649	0.0708155896162589	0	0	31.680445151033386	193.31274432661917	FSTL1;SCG2
GO_Biological_Process_2021	negative regulation of epithelial cell apoptotic process (GO:1904036)	2/37	0.0020164639791465	0.0708155896162589	0	0	33.49411764705882	207.87822023706013	NEUROD1;SCG2
GO_Biological_Process_2021	epithelial cell migration (GO:0010631)	2/41	0.0024715423197367	0.0708155896162589	0	0	30.052790346907997	180.4042829225449	FSTL1;SCG2
GO_Biological_Process_2021	positive regulation of actin filament bundle assembly (GO:0032233)	2/51	0.0037998172330703	0.0890846040197595	0	0	23.907563025210084	133.23212245257045	TGFBR1;PFN2
GO_Biological_Process_2021	regulation of ERK1 and ERK2 cascade (GO:0070372)	3/238	0.0088957487858737	0.0938171316446915	0	0	7.6321083172147	36.040202845182606	NOTCH2;SEMA6A;ROR1
GO_Biological_Process_2021	negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	2/80	0.0091149345910719	0.0938171316446915	0	0	14.996983408748116	70.45344423644089	SCG2;TGFBR1
GO_Biological_Process_2021	enteroendocrine cell differentiation (GO:0035883)	1/5	0.0089684554827598	0.0938171316446915	0	0	142.57142857142858	672.0876744444516	NEUROD1
GO_Biological_Process_2021	coronary artery morphogenesis (GO:0060982)	1/5	0.0089684554827598	0.0938171316446915	0	0	142.57142857142858	672.0876744444516	TGFBR1
GO_Biological_Process_2021	Toll signaling pathway (GO:0008063)	1/5	0.0089684554827598	0.0938171316446915	0	0	142.57142857142858	672.0876744444516	PELI1
GO_Biological_Process_2021	regulation of growth rate (GO:0040009)	1/5	0.0089684554827598	0.0938171316446915	0	0	142.57142857142858	672.0876744444516	NOTCH2
GO_Biological_Process_2021	renal tubule development (GO:0061326)	1/5	0.0089684554827598	0.0938171316446915	0	0	142.57142857142858	672.0876744444516	COL4A1
GO_Biological_Process_2021	positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation (GO:1905007)	1/5	0.0089684554827598	0.0938171316446915	0	0	142.57142857142858	672.0876744444516	TGFBR1
GO_Biological_Process_2021	regulation of type B pancreatic cell apoptotic process (GO:2000674)	1/5	0.0089684554827598	0.0938171316446915	0	0	142.57142857142858	672.0876744444516	NEUROD1
GO_Biological_Process_2021	amacrine cell differentiation (GO:0035881)	1/5	0.0089684554827598	0.0938171316446915	0	0	142.57142857142858	672.0876744444516	NEUROD1
GO_Biological_Process_2021	negative regulation of apoptotic signaling pathway (GO:2001234)	2/78	0.0086815795559781	0.0938171316446915	0	0	15.393188854489164	73.06456811678535	SCG2;TGFBR1
