Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Relaxin signaling pathway	4/129	8.291374750277433e-05	0.006218531062708	0	0	19.839	186.44116228617156	COL1A1;COL4A1;GNB4;TGFBR1
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	3/100	0.0007681770335999374	0.0288066387599976	0	0	18.619493908153704	133.5295206771706	COL1A1;COL4A1;TGFBR1
KEGG_2021_Human	ECM-receptor interaction	2/88	0.0109429078165413	0.1583453979653458	0	0	13.596443228454172	61.38880754927296	COL1A1;COL4A1
KEGG_2021_Human	Amoebiasis	2/102	0.0144952475181609	0.1583453979653458	0	0	11.684705882352942	49.472278664136425	COL1A1;COL4A1
KEGG_2021_Human	Chagas disease	2/102	0.0144952475181609	0.1583453979653458	0	0	11.684705882352942	49.472278664136425	CCL3L3;TGFBR1
KEGG_2021_Human	Protein digestion and absorption	2/103	0.014765707607644	0.1583453979653458	0	0	11.568433313919629	48.76612722849258	COL1A1;COL4A1
KEGG_2021_Human	Pathways in cancer	4/531	0.0147789038100989	0.1583453979653458	0	0	4.610294117647059	19.430335973484677	NOTCH2;COL4A1;GNB4;TGFBR1
KEGG_2021_Human	Human papillomavirus infection	3/331	0.0214356692088614	0.1913444747695622	0	0	5.442350332594235	20.91331395778428	NOTCH2;COL1A1;COL4A1
KEGG_2021_Human	Apelin signaling pathway	2/137	0.0252082642304262	0.1913444747695622	0	0	8.640087145969499	31.80056125985905	GNB4;TGFBR1
KEGG_2021_Human	PI3K-Akt signaling pathway	3/354	0.0255125966359416	0.1913444747695622	0	0	5.07977207977208	18.635565308106823	COL1A1;COL4A1;GNB4
KEGG_2021_Human	Cellular senescence	2/156	0.0320278671698258	0.2183718216124489	0	0	7.566844919786096	26.03864011830784	IGFBP3;TGFBR1
KEGG_2021_Human	Maturity onset diabetes of the young	1/26	0.0457897633734358	0.2577439447127909	0	0	22.78742857142857	70.2694731674912	NEUROD1
KEGG_2021_Human	Chemokine signaling pathway	2/192	0.0466667394012543	0.2577439447127909	0	0	6.121981424148607	18.762180866359344	CCL3L3;GNB4
KEGG_2021_Human	Focal adhesion	2/201	0.0506477978782022	0.2577439447127909	0	0	5.842447531776529	17.4272002780289	COL1A1;COL4A1
KEGG_2021_Human	Diabetic cardiomyopathy	2/203	0.0515487889425581	0.2577439447127909	0	0	5.78372841673983	17.1500651267736	COL1A1;TGFBR1
KEGG_2021_Human	Lipid and atherosclerosis	2/215	0.057075185633358	0.2675399326563659	0	0	5.454570560618613	15.61854007451344	CCL3L3;OLR1
KEGG_2021_Human	Human cytomegalovirus infection	2/225	0.0618327562771682	0.2689281851041363	0	0	5.207333157478238	14.493685032744628	CCL3L3;GNB4
KEGG_2021_Human	Alanine, aspartate and glutamate metabolism	1/37	0.0645427644249927	0.2689281851041363	0	0	15.815873015873017	43.34224956187957	RIMKLB
KEGG_2021_Human	Dopaminergic synapse	1/132	0.2122673480410708	0.3316677313141731	0	0	4.325627044711014	6.704327089616511	GNB4
KEGG_2021_Human	FoxO signaling pathway	1/131	0.2108374920098947	0.3316677313141731	0	0	4.359120879120879	6.785702334197538	TGFBR1
KEGG_2021_Human	Osteoclast differentiation	1/127	0.2050927926910189	0.3316677313141731	0	0	4.498412698412698	7.126802647024788	TGFBR1
KEGG_2021_Human	Platelet activation	1/124	0.2007576077524453	0.3316677313141731	0	0	4.608826945412312	7.400195385984942	COL1A1
KEGG_2021_Human	Thyroid hormone signaling pathway	1/121	0.1963994402729814	0.3316677313141731	0	0	4.7247619047619045	7.690044838487323	NOTCH2
KEGG_2021_Human	Growth hormone synthesis, secretion and action	1/119	0.1934811687592036	0.3316677313141731	0	0	4.805326876513317	7.893110228215557	IGFBP3
KEGG_2021_Human	Glutamatergic synapse	1/114	0.1861403402549351	0.3316677313141731	0	0	5.019216182048041	8.438579151459255	GNB4
KEGG_2021_Human	Cholinergic synapse	1/113	0.1846643992267715	0.3316677313141731	0	0	5.064285714285714	8.554668200781553	GNB4
KEGG_2021_Human	Serotonergic synapse	1/113	0.1846643992267715	0.3316677313141731	0	0	5.064285714285714	8.554668200781553	GNB4
KEGG_2021_Human	Th17 cell differentiation	1/107	0.1757539515744971	0.3316677313141731	0	0	5.35256064690027	9.306338035584416	TGFBR1
KEGG_2021_Human	Viral protein interaction with cytokine and cytokine receptor	1/100	0.165238740567014	0.3316677313141731	0	0	5.733044733044733	10.321566994169176	CCL3L3
KEGG_2021_Human	Circadian entrainment	1/97	0.1606924023205751	0.3316677313141731	0	0	5.913095238095238	10.810694930482056	GNB4
KEGG_2021_Human	Staphylococcus aureus infection	1/95	0.1576481460440215	0.3316677313141731	0	0	6.03951367781155	11.157335077597404	MASP1
KEGG_2021_Human	TGF-beta signaling pathway	1/94	0.1561219949284995	0.3316677313141731	0	0	6.104761904761904	11.33726052426851	TGFBR1
