Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	blood vessel morphogenesis (GO:0048514)	4/56	4.672651312371709e-06	0.0021073657418796	0	0	42.53846153846154	522.107884980085	LOX;COL4A1;KDR;TGFBR1
GO_Biological_Process_2021	collagen fibril organization (GO:0030199)	4/89	2.962187424630578e-05	0.0066797326425419	0	0	25.980392156862745	270.8974834125925	COL1A1;LOX;COL4A1;TGFBR1
GO_Biological_Process_2021	extracellular structure organization (GO:0043062)	5/216	6.78476520417426e-05	0.0085238613286102	0	0	13.371022342586324	128.33835873944977	COL1A1;LOX;COL4A1;KDR;TGFBR1
GO_Biological_Process_2021	positive regulation of cell motility (GO:2000147)	5/221	7.559965701649884e-05	0.0085238613286102	0	0	13.05820105820106	123.92309601612828	COL1A1;SEMA6A;KDR;NEDD9;TGFBR1
GO_Biological_Process_2021	positive regulation of epithelial cell proliferation (GO:0050679)	4/123	0.00010488636905788135	0.0094607504890208	0	0	18.525676937441645	169.7439787294072	NOTCH2;KDR;SCG2;TGFBR1
GO_Biological_Process_2021	positive regulation of cell differentiation (GO:0045597)	5/258	0.00015633740694893916	0.0117513617556619	0	0	11.127611518915868	97.516757017178	COL1A1;IGFBP3;KDR;SOX6;TGFBR1
GO_Biological_Process_2021	positive regulation of cell migration (GO:0030335)	5/269	0.00018986783941064055	0.0122329136534569	0	0	10.658008658008658	91.33041925078211	COL1A1;SEMA6A;KDR;NEDD9;TGFBR1
GO_Biological_Process_2021	cellular response to growth factor stimulus (GO:0071363)	4/158	0.0002745718679889281	0.0154789890578758	0	0	14.29004329004329	117.18260651080388	SEMA6A;KDR;SOX6;TGFBR1
GO_Biological_Process_2021	extracellular matrix organization (GO:0030198)	5/300	0.0003142963338778812	0.0157497385087693	0	0	9.523002421307506	76.80467418368524	COL1A1;LOX;COL4A1;KDR;TGFBR1
GO_Biological_Process_2021	branching involved in blood vessel morphogenesis (GO:0001569)	2/14	0.00034955273047183893	0.0157648281442799	0	0	87.49122807017544	696.3300971664896	COL4A1;KDR
GO_Biological_Process_2021	positive regulation of endothelial cell proliferation (GO:0001938)	3/77	0.0004892645868866266	0.0195595042155524	0	0	21.78889700511322	166.08820182596995	KDR;SCG2;TGFBR1
GO_Biological_Process_2021	positive regulation of positive chemotaxis (GO:0050927)	2/17	0.0005204302673761171	0.0195595042155524	0	0	69.98245614035088	529.127179015688	KDR;SCG2
GO_Biological_Process_2021	regulation of endothelial cell proliferation (GO:0001936)	3/92	0.0008227066124479392	0.02854159093954	0	0	18.10294564227149	128.5836100391117	KDR;SCG2;TGFBR1
GO_Biological_Process_2021	external encapsulating structure organization (GO:0045229)	4/217	0.0009070333002260408	0.0292194298858531	0	0	10.300991131977048	72.16185656441012	COL1A1;LOX;COL4A1;KDR
GO_Biological_Process_2021	negative regulation of endothelial cell apoptotic process (GO:2000352)	2/27	0.0013262988762919	0.0332311551782038	0	0	41.96842105263158	278.0560246700436	KDR;SCG2
GO_Biological_Process_2021	regulation of ERK1 and ERK2 cascade (GO:0070372)	4/238	0.0012766796528841	0.0332311551782038	0	0	9.366571699905034	62.41408113978843	NOTCH2;SEMA6A;KDR;ROR1
GO_Biological_Process_2021	regulation of chondrocyte differentiation (GO:0032330)	2/26	0.001229607045752	0.0332311551782038	0	0	43.719298245614034	292.96566849145233	SOX6;TGFBR1
GO_Biological_Process_2021	regulation of cell migration (GO:0030334)	5/408	0.0012603402567278	0.0332311551782038	0	0	6.932647997164127	46.28494771592967	COL1A1;SEMA6A;KDR;NEDD9;TGFBR1
GO_Biological_Process_2021	cytoskeleton organization (GO:0007010)	3/120	0.0017700847391496	0.0420162219661319	0	0	13.751212751212751	87.13769292624791	FGD6;SEMA6A;NEDD9
GO_Biological_Process_2021	cellular response to vascular endothelial growth factor stimulus (GO:0035924)	2/34	0.0021011541850646	0.0473810268732077	0	0	32.776315789473685	202.0747864077191	SEMA6A;KDR
GO_Biological_Process_2021	negative regulation of epithelial cell apoptotic process (GO:1904036)	2/37	0.0024849910419855	0.0533681409493081	0	0	29.962406015037597	179.69911732131763	KDR;SCG2
GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	3/140	0.0027442876968701	0.0562578977858388	0	0	11.731899782994674	69.19748700315135	KDR;NEDD9;ROR1
GO_Biological_Process_2021	regulation of endothelial cell apoptotic process (GO:2000351)	2/44	0.0034987013786665	0.0606890123761001	0	0	24.959899749373434	141.15730385981087	KDR;SCG2
GO_Biological_Process_2021	positive regulation of epithelial to mesenchymal transition (GO:0010718)	2/42	0.003192377519186	0.0606890123761001	0	0	26.210526315789476	150.63161522690567	COL1A1;TGFBR1
GO_Biological_Process_2021	branching morphogenesis of an epithelial tube (GO:0048754)	2/44	0.0034987013786665	0.0606890123761001	0	0	24.959899749373434	141.15730385981087	COL4A1;KDR
GO_Biological_Process_2021	positive regulation of stress fiber assembly (GO:0051496)	2/44	0.0034987013786665	0.0606890123761001	0	0	24.959899749373434	141.15730385981087	TGFBR1;PFN2
GO_Biological_Process_2021	skeletal system development (GO:0001501)	3/158	0.0038576468614494	0.0644369901671749	0	0	10.360069747166522	57.57813790654623	COL1A1;SOX6;TGFBR1
GO_Biological_Process_2021	positive regulation of actin filament bundle assembly (GO:0032233)	2/51	0.0046740595984819	0.0752857456755487	0	0	21.386680988184747	114.75509786105276	TGFBR1;PFN2
GO_Biological_Process_2021	positive regulation of ERK1 and ERK2 cascade (GO:0070374)	3/172	0.0048893209821574	0.0760373711363099	0	0	9.495122341276188	50.52071494635604	NOTCH2;KDR;ROR1
GO_Biological_Process_2021	supramolecular fiber organization (GO:0097435)	4/351	0.0051795549316145	0.0778659758052714	0	0	6.280179314761448	33.05281074285354	COL1A1;LOX;COL4A1;TGFBR1
GO_Biological_Process_2021	chordate embryonic development (GO:0043009)	2/58	0.0060065967268795	0.0873862943168609	0	0	18.706766917293237	95.68318522231722	COL1A1;TGFBR1
GO_Biological_Process_2021	negative regulation of macromolecule metabolic process (GO:0010605)	3/194	0.006820291903571	0.096123489015954	0	0	8.392104146030848	41.85858189927141	NOTCH2;KDR;RBMS3
GO_Biological_Process_2021	actin cytoskeleton reorganization (GO:0031532)	2/63	0.0070522105857789	0.0963802113389786	0	0	17.16911130284728	85.0628880339553	THSD7B;NEDD9
GO_Biological_Process_2021	regulation of extrinsic apoptotic signaling pathway (GO:2001236)	2/64	0.0072705495770056	0.0964417017420449	0	0	16.891341256366722	83.1716703869672	SCG2;TGFBR1
GO_Biological_Process_2021	cellular response to transforming growth factor beta stimulus (GO:0071560)	2/114	0.0218173343373228	0.0964668410405156	0	0	9.327067669172932	35.67650459095794	SOX6;TGFBR1
GO_Biological_Process_2021	ventricular trabecula myocardium morphogenesis (GO:0003222)	1/8	0.0158910747267934	0.0964668410405156	0	0	73.08791208791209	302.7299612299731	TGFBR1
GO_Biological_Process_2021	regulation of osteoclast development (GO:2001204)	1/8	0.0158910747267934	0.0964668410405156	0	0	73.08791208791209	302.7299612299731	NOTCH2
GO_Biological_Process_2021	regulation of positive chemotaxis (GO:0050926)	1/8	0.0158910747267934	0.0964668410405156	0	0	73.08791208791209	302.7299612299731	KDR
GO_Biological_Process_2021	negative regulation of signal transduction (GO:0009968)	3/267	0.0161560385377016	0.0964668410405156	0	0	6.049140049140049	24.95549375132931	SEMA6A;IGFBP3;DLK1
GO_Biological_Process_2021	protein phosphorylation (GO:0006468)	4/496	0.0168791841770466	0.0964668410405156	0	0	4.396567299006324	17.945354968780777	MAP3K1;IGFBP3;KDR;TGFBR1
GO_Biological_Process_2021	positive regulation of MAPK cascade (GO:0043410)	3/274	0.0172990723643591	0.0964668410405156	0	0	5.8907948538944845	23.89955793654035	NOTCH2;KDR;ROR1
GO_Biological_Process_2021	negative regulation of glycoprotein biosynthetic process (GO:0010561)	1/9	0.0178600710727219	0.0964668410405156	0	0	63.94871794871795	257.40559445949555	BACE2
GO_Biological_Process_2021	lipoprotein metabolic process (GO:0042157)	1/9	0.0178600710727219	0.0964668410405156	0	0	63.94871794871795	257.40559445949555	OLR1
