Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of cell differentiation (GO:0045597)	5/258	0.00013823916389312622	0.0548553085121753	0	0	11.45547547082074	101.79937260819324	NEUROD1;COL1A1;IGFBP3;SOX6;TGFBR1
GO_Biological_Process_2021	actin cytoskeleton reorganization (GO:0031532)	3/63	0.00025105404353398323	0.0548553085121753	0	0	27.64027777777778	229.13354471098395	THSD7B;NEDD9;THSD7A
GO_Biological_Process_2021	regulation of cellular response to growth factor stimulus (GO:0090287)	2/17	0.0004946556969674145	0.07205484652492	0	0	71.87747747747748	547.1061007477681	PCSK6;FSTL1
GO_Biological_Process_2021	positive regulation of cell migration (GO:0030335)	4/269	0.0018178659928288	0.0722188580787474	0	0	8.49423180592992	53.59938414146048	COL1A1;SEMA6A;NEDD9;TGFBR1
GO_Biological_Process_2021	positive regulation of epithelial cell proliferation (GO:0050679)	3/123	0.0017648935265824	0.0722188580787474	0	0	13.778472222222222	87.3508969336432	NOTCH2;SCG2;TGFBR1
GO_Biological_Process_2021	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	2/31	0.0016623989830333	0.0722188580787474	0	0	37.15191053122088	237.7534117911538	PCSK6;FSTL1
GO_Biological_Process_2021	nervous system development (GO:0007399)	5/447	0.0016784277946844	0.0722188580787474	0	0	6.494210806494544	41.49734308689845	NOTCH2;NEUROD1;SEMA6A;SOX6;TGFBR1
GO_Biological_Process_2021	regulation of chondrocyte differentiation (GO:0032330)	2/26	0.0011690594812284	0.0722188580787474	0	0	44.90315315315316	303.1661403214672	SOX6;TGFBR1
GO_Biological_Process_2021	positive regulation of cell motility (GO:2000147)	4/221	0.0008811814364263576	0.0722188580787474	0	0	10.398420013166556	73.14505488115569	COL1A1;SEMA6A;NEDD9;TGFBR1
GO_Biological_Process_2021	collagen fibril organization (GO:0030199)	3/89	0.0006932679489126886	0.0722188580787474	0	0	19.25872093023256	140.08974603573816	COL1A1;COL4A1;TGFBR1
