Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Relaxin signaling pathway	4/129	0.00011405698458812568	0.008212102890345	0	0	18.135771428571427	164.6512659789039	COL1A1;COL4A1;GNB4;TGFBR1
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	3/100	0.0009726294551664332	0.0350146603859915	0	0	17.06529209621993	118.35645919802704	COL1A1;COL4A1;TGFBR1
KEGG_2021_Human	ECM-receptor interaction	2/88	0.0127618253822231	0.1995078835528801	0	0	12.492143306096796	54.4819465780902	COL1A1;COL4A1
KEGG_2021_Human	Amoebiasis	2/102	0.0168815324085779	0.1995078835528801	0	0	10.735675675675676	43.81803614169333	COL1A1;COL4A1
KEGG_2021_Human	Chagas disease	2/102	0.0168815324085779	0.1995078835528801	0	0	10.735675675675676	43.81803614169333	CCL3L3;TGFBR1
KEGG_2021_Human	Protein digestion and absorption	2/103	0.0171948411719455	0.1995078835528801	0	0	10.62884666845063	43.18655446519468	COL1A1;COL4A1
KEGG_2021_Human	Pathways in cancer	4/531	0.0193965997898633	0.1995078835528801	0	0	4.214475467606397	16.6162332975979	NOTCH2;COL4A1;GNB4;TGFBR1
KEGG_2021_Human	Human papillomavirus infection	3/331	0.0264648208837765	0.2262306590345828	0	0	4.988058943089431	18.116325519084924	NOTCH2;COL1A1;COL4A1
KEGG_2021_Human	Apelin signaling pathway	2/137	0.029258690661508	0.2262306590345828	0	0	7.938338338338339	28.034866055628	GNB4;TGFBR1
KEGG_2021_Human	PI3K-Akt signaling pathway	3/354	0.0314209248659142	0.2262306590345828	0	0	4.655745489078822	16.110188639095526	COL1A1;COL4A1;GNB4
KEGG_2021_Human	Cellular senescence	2/156	0.0371061469564954	0.2428765982606973	0	0	6.952263952263952	22.90056722350201	IGFBP3;TGFBR1
KEGG_2021_Human	Human cytomegalovirus infection	2/225	0.0711688954723058	0.2846755818892235	0	0	4.784389770936857	12.643704060077702	CCL3L3;GNB4
KEGG_2021_Human	Alanine, aspartate and glutamate metabolism	1/37	0.069734529574374	0.2846755818892235	0	0	14.565058479532164	38.78761998968224	RIMKLB
