Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	ECM-receptor interaction	3/88	0.0010897529986256	0.0295347374120341	0	0	16.308344733242134	111.25233484393272	COL1A1;COL4A1;ITGA6
KEGG_2021_Human	Focal adhesion	4/201	0.0011613869713531	0.0295347374120341	0	0	9.551365723954556	64.54946984013715	COL1A1;COL4A1;KDR;ITGA6
KEGG_2021_Human	PI3K-Akt signaling pathway	5/354	0.0012761459909868	0.0295347374120341	0	0	6.850583548815431	45.651676927282814	COL1A1;KITLG;COL4A1;KDR;ITGA6
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	3/100	0.0015751859953084	0.0295347374120341	0	0	14.282186526012946	92.16840432528492	COL1A1;COL4A1;TGFBR1
KEGG_2021_Human	Relaxin signaling pathway	3/129	0.0032501818913615	0.0487527283704232	0	0	10.978959025470653	62.89894281840672	COL1A1;COL4A1;TGFBR1
KEGG_2021_Human	MAPK signaling pathway	4/294	0.0045956780881582	0.0574459761019782	0	0	6.457799671592775	34.76000412878884	KITLG;MAP3K1;KDR;TGFBR1
KEGG_2021_Human	Rap1 signaling pathway	3/210	0.0124348858895583	0.1332309202452682	0	0	6.655544320862824	29.19953268410182	KITLG;KDR;PFN2
KEGG_2021_Human	Protein digestion and absorption	2/103	0.0234654319369281	0.1599915813881464	0	0	8.934743474347435	33.52518500734916	COL1A1;COL4A1
KEGG_2021_Human	Amoebiasis	2/102	0.0230430830514443	0.1599915813881464	0	0	9.024545454545455	34.026052679494455	COL1A1;COL4A1
KEGG_2021_Human	Small cell lung cancer	2/92	0.0189990757592978	0.1599915813881464	0	0	10.032323232323233	39.76175821837041	COL4A1;ITGA6
KEGG_2021_Human	Hematopoietic cell lineage	2/99	0.0217953851332818	0.1599915813881464	0	0	9.30506091846298	35.60169367402211	KITLG;ITGA6
KEGG_2021_Human	Growth hormone synthesis, secretion and action	2/119	0.0306469585800776	0.1785458401195239	0	0	7.706682206682206	26.85949723461201	MAP3K1;IGFBP3
KEGG_2021_Human	Platelet activation	2/124	0.0330487598960871	0.1785458401195239	0	0	7.388971684053652	25.19470310779092	COL1A1;PRKG2
KEGG_2021_Human	Pathways in cancer	4/531	0.0333285568223111	0.1785458401195239	0	0	3.5107978675341105	11.941419631591444	KITLG;COL4A1;ITGA6;TGFBR1
KEGG_2021_Human	Human papillomavirus infection	3/331	0.0404248494774368	0.2021242473871844	0	0	4.174560408394782	13.393286396185548	COL1A1;COL4A1;ITGA6
KEGG_2021_Human	Cellular senescence	2/156	0.0500393357645638	0.2345593863963929	0	0	5.8441558441558445	17.5029303948369	IGFBP3;TGFBR1
KEGG_2021_Human	Hepatitis B	2/162	0.0535134124324894	0.2360885842609827	0	0	5.623295454545454	16.464013524841285	MAP3K1;TGFBR1
KEGG_2021_Human	Axon guidance	2/182	0.0656830362610632	0.2736793177544301	0	0	4.993434343434344	13.596695212039078	SEMA6A;SEMA3E
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	2/219	0.0903104672013123	0.2944906539173228	0	0	4.134268956849602	9.940857600826686	MAP3K1;TGFBR1
KEGG_2021_Human	Homologous recombination	1/41	0.0901749198921924	0.2944906539173228	0	0	11.063333333333333	26.618423595643765	BRIP1
KEGG_2021_Human	Regulation of actin cytoskeleton	2/218	0.0896127558471763	0.2944906539173228	0	0	4.1536195286195285	10.019600295226535	ITGA6;PFN2
