Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Relaxin signaling pathway	4/129	0.0002795382242728731	0.0374581220525649	0	0	14.09848888888889	115.35907389246005	COL1A2;COL4A1;ADCY2;TGFBR1
KEGG_2021_Human	ECM-receptor interaction	3/88	0.0013101259267189	0.0689365601545164	0	0	15.242455242966752	101.17380897075944	COL1A2;COL4A1;ITGA6
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	3/100	0.0018912091143729	0.0689365601545164	0	0	13.348722545943524	83.70368414188104	COL1A2;COL4A1;TGFBR1
KEGG_2021_Human	Protein digestion and absorption	3/103	0.0020578077658064	0.0689365601545164	0	0	12.946304347826088	80.08731527591337	COL1A2;COL4A1;ATP1B2
KEGG_2021_Human	Toxoplasmosis	3/112	0.0026114771425708	0.0699875874208998	0	0	11.871958516154766	70.6125009879069	ITGA6;HSPA1B;TNFRSF1A
KEGG_2021_Human	NF-kappa B signaling pathway	2/104	0.0268746417135921	0.1440480795848537	0	0	8.280767626199417	29.947993363977123	TNFSF13B;TNFRSF1A
KEGG_2021_Human	Pancreatic secretion	2/102	0.0259258637518775	0.1440480795848537	0	0	8.447234042553191	30.853642359468505	ADCY2;ATP1B2
KEGG_2021_Human	Longevity regulating pathway	2/102	0.0259258637518775	0.1440480795848537	0	0	8.447234042553191	30.853642359468505	ADCY2;HSPA1B
KEGG_2021_Human	Chagas disease	2/102	0.0259258637518775	0.1440480795848537	0	0	8.447234042553191	30.853642359468505	TGFBR1;TNFRSF1A
KEGG_2021_Human	Amoebiasis	2/102	0.0259258637518775	0.1440480795848537	0	0	8.447234042553191	30.853642359468505	COL1A2;COL4A1
KEGG_2021_Human	Aldosterone synthesis and secretion	2/98	0.0240707712465116	0.1440480795848537	0	0	8.800975177304965	32.79909572461701	ADCY2;ATP1B2
KEGG_2021_Human	Dilated cardiomyopathy	2/96	0.0231647687999635	0.1440480795848537	0	0	8.989135355364418	33.845197946063955	ITGA6;ADCY2
KEGG_2021_Human	Salivary secretion	2/93	0.0218331381638993	0.1440480795848537	0	0	9.28688332943652	35.51607275715026	ADCY2;ATP1B2
KEGG_2021_Human	Morphine addiction	2/91	0.020963865245223	0.1440480795848537	0	0	9.496533588333731	36.70367522158317	ADCY2;GABRG1
KEGG_2021_Human	Small cell lung cancer	2/92	0.0213966402826562	0.1440480795848537	0	0	9.390543735224586	36.10214602295439	COL4A1;ITGA6
KEGG_2021_Human	GABAergic synapse	2/89	0.0201095642310554	0.1440480795848537	0	0	9.715822939594032	37.95544278243749	ADCY2;GABRG1
KEGG_2021_Human	Human papillomavirus infection	4/331	0.0086932963914999	0.1440480795848537	0	0	5.334420659191301	25.312909342249423	COL1A2;COL4A1;ITGA6;TNFRSF1A
KEGG_2021_Human	Bile secretion	2/90	0.0205348331635039	0.1440480795848537	0	0	9.604932301740812	37.32123861128528	ADCY2;ATP1B2
KEGG_2021_Human	Thyroid hormone synthesis	2/75	0.0145624098315061	0.1440480795848537	0	0	11.587292334596327	49.00627149976472	ADCY2;ATP1B2
KEGG_2021_Human	Gastric acid secretion	2/76	0.0149328337046018	0.1440480795848537	0	0	11.430132259919494	48.05448073399433	ADCY2;ATP1B2
KEGG_2021_Human	Focal adhesion	3/201	0.0131254166149737	0.1440480795848537	0	0	6.5062582345191045	28.19294894936024	COL1A2;COL4A1;ITGA6
KEGG_2021_Human	Regulation of actin cytoskeleton	3/218	0.0162881228002134	0.1440480795848537	0	0	5.986653185035389	24.648961499850543	ITGA6;IQGAP2;PFN2
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	3/219	0.0164863595823011	0.1440480795848537	0	0	5.958635265700483	24.461520177277748	ADCY2;TGFBR1;TNFRSF1A
KEGG_2021_Human	Insulin secretion	2/86	0.0188565392796525	0.1440480795848537	0	0	10.064336372847013	39.96442815292184	ADCY2;ATP1B2
KEGG_2021_Human	Lipid and atherosclerosis	3/215	0.015701573847323	0.1440480795848537	0	0	6.072292863002461	25.224270102363796	OLR1;HSPA1B;TNFRSF1A
KEGG_2021_Human	Glutamatergic synapse	2/114	0.031824707835415	0.1640196480748312	0	0	7.537613981762917	25.98601702730956	SLC1A2;ADCY2
KEGG_2021_Human	Growth hormone synthesis, secretion and action	2/119	0.0344246003686635	0.1643326834763174	0	0	7.213675213675214	24.30275524487913	IGFBP3;ADCY2
KEGG_2021_Human	MAPK signaling pathway	3/294	0.0352621977518025	0.1643326834763174	0	0	4.406095921111609	14.738143119269612	TGFBR1;HSPA1B;TNFRSF1A
KEGG_2021_Human	Cytokine-cytokine receptor interaction	3/295	0.0355645359762179	0.1643326834763174	0	0	4.390783204288267	14.64943682412879	TGFBR1;TNFSF13B;TNFRSF1A
KEGG_2021_Human	Platelet activation	2/124	0.0371046571441088	0.165734135243686	0	0	6.916288803627485	22.782343762963357	COL1A2;ADCY2
KEGG_2021_Human	Osteoclast differentiation	2/127	0.0387502305620584	0.1675009966230912	0	0	6.749276595744681	21.93932385787189	TGFBR1;TNFRSF1A
KEGG_2021_Human	Pathways in cancer	4/531	0.0407004810423784	0.1704332643649597	0	0	3.2762386675100146	10.48892844123912	COL4A1;ITGA6;ADCY2;TGFBR1
KEGG_2021_Human	Estrogen signaling pathway	2/137	0.0444319145713561	0.1751140162518152	0	0	6.246178092986604	19.44933230076116	ADCY2;HSPA1B
KEGG_2021_Human	Apelin signaling pathway	2/137	0.0444319145713561	0.1751140162518152	0	0	6.246178092986604	19.44933230076116	ADCY2;TGFBR1
KEGG_2021_Human	Retrograde endocannabinoid signaling	2/148	0.0510149102212531	0.1924427962508856	0	0	5.772369571553483	17.176478389520618	ADCY2;GABRG1
KEGG_2021_Human	Adrenergic signaling in cardiomyocytes	2/150	0.0522476394417566	0.1924427962508856	0	0	5.693789534215066	16.806703425635504	ADCY2;ATP1B2
KEGG_2021_Human	Proximal tubule bicarbonate reclamation	1/23	0.0548862328463382	0.1924427962508856	0	0	18.87215909090909	54.77630455586824	ATP1B2
KEGG_2021_Human	PI3K-Akt signaling pathway	3/354	0.0557539730623625	0.1924427962508856	0	0	3.6417688591601634	10.513082398286194	COL1A2;COL4A1;ITGA6
KEGG_2021_Human	Cellular senescence	2/156	0.0560094705506308	0.1924427962508856	0	0	5.470295661785023	15.766674802661305	IGFBP3;TGFBR1
KEGG_2021_Human	Amyotrophic lateral sclerosis	3/364	0.0596217373412884	0.1997328200933162	0	0	3.5390822594243043	9.9792742949658	SLC1A2;TNFRSF1A;PFN2
KEGG_2021_Human	Maturity onset diabetes of the young	1/26	0.061824103460221	0.201461604963603	0	0	16.605	46.219385960868735	NEUROD1
KEGG_2021_Human	cGMP-PKG signaling pathway	2/167	0.0631446821527711	0.201461604963603	0	0	5.1027724049000645	14.09552416980004	ADCY2;ATP1B2
KEGG_2021_Human	Aldosterone-regulated sodium reabsorption	1/37	0.0868387334939797	0.2693050179638927	0	0	11.52488425925926	28.16338868908917	ATP1B2
KEGG_2021_Human	Diabetic cardiomyopathy	2/203	0.0884285133612782	0.2693050179638927	0	0	4.181221551815392	10.141807142417845	COL1A2;TGFBR1
KEGG_2021_Human	Nicotine addiction	1/40	0.0935467406593446	0.2728061109221309	0	0	10.636752136752136	25.20159373503205	GABRG1
KEGG_2021_Human	Rap1 signaling pathway	2/210	0.0936498589732688	0.2728061109221309	0	0	4.039075286415712	9.565307218535958	ADCY2;PFN2
KEGG_2021_Human	Ferroptosis	1/41	0.0957719978250872	0.273052078905568	0	0	10.3703125	24.32652283384113	SLC7A11
KEGG_2021_Human	cAMP signaling pathway	2/216	0.0981957585407986	0.2741298259263962	0	0	3.924637104792205	9.10826740278019	ADCY2;ATP1B2
KEGG_2021_Human	Human cytomegalovirus infection	2/225	0.1051302519537576	0.2817490752360703	0	0	3.764526285659765	8.479803270858644	ADCY2;TNFRSF1A
KEGG_2021_Human	Glycosphingolipid biosynthesis	1/45	0.1046196369604402	0.2817490752360703	0	0	9.42566287878788	21.27771770333297	B3GNT5
KEGG_2021_Human	Carbohydrate digestion and absorption	1/47	0.1090115984928597	0.2864226313341805	0	0	9.014945652173912	19.979833011775472	ATP1B2
KEGG_2021_Human	Intestinal immune network for IgA production	1/48	0.1111996584812328	0.2865529660862539	0	0	8.822695035460994	19.378414132394244	TNFSF13B
KEGG_2021_Human	Ovarian steroidogenesis	1/51	0.117732304342972	0.2926830625297631	0	0	8.292083333333334	17.739600807203995	ADCY2
KEGG_2021_Human	Shigellosis	2/246	0.1218042221214621	0.2926830625297631	0	0	3.4368678060690616	7.23577616016526	TNFRSF1A;PFN2
KEGG_2021_Human	Endocrine and other factor-regulated calcium reabsorption	1/53	0.122061246826909	0.2926830625297631	0	0	7.972355769230769	16.76771645630506	ATP1B2
KEGG_2021_Human	Salmonella infection	2/249	0.1242379596628799	0.2926830625297631	0	0	3.394607632009648	7.079646089361092	TNFRSF1A;PFN2
KEGG_2021_Human	Regulation of lipolysis in adipocytes	1/55	0.126369380338241	0.2926830625297631	0	0	7.676311728395062	15.878804463813514	ADCY2
KEGG_2021_Human	Endocytosis	2/252	0.1266837136322855	0.2926830625297631	0	0	3.35336170212766	6.928252322126027	TGFBR1;HSPA1B
KEGG_2021_Human	Legionellosis	1/57	0.1306568028722364	0.2967459590657573	0	0	7.401413690476191	15.06321813640217	HSPA1B
KEGG_2021_Human	Mineral absorption	1/60	0.1370493166479286	0.3060768071803739	0	0	7.0240112994350286	13.95962150005924	ATP1B2
KEGG_2021_Human	Cortisol synthesis and secretion	1/65	0.1476013260006852	0.3242389784277347	0	0	6.4736328125	12.385615722311575	ADCY2
KEGG_2021_Human	Arrhythmogenic right ventricular cardiomyopathy	1/77	0.1724131507719458	0.3339444092514503	0	0	5.448190789473684	9.57716561300858	ITGA6
KEGG_2021_Human	Antigen processing and presentation	1/78	0.1744485719970262	0.3339444092514503	0	0	5.377164502164503	9.389202964039915	HSPA1B
KEGG_2021_Human	Synaptic vesicle cycle	1/78	0.1744485719970262	0.3339444092514503	0	0	5.377164502164503	9.389202964039915	SLC1A2
KEGG_2021_Human	Chronic myeloid leukemia	1/76	0.1703728138367953	0.3339444092514503	0	0	5.521111111111111	9.771075944218463	TGFBR1
KEGG_2021_Human	Pancreatic cancer	1/76	0.1703728138367953	0.3339444092514503	0	0	5.521111111111111	9.771075944218463	TGFBR1
KEGG_2021_Human	PPAR signaling pathway	1/74	0.1662773462428849	0.3339444092514503	0	0	5.6729452054794525	10.17782035237302	OLR1
KEGG_2021_Human	p53 signaling pathway	1/73	0.1642221922692394	0.3339444092514503	0	0	5.752025462962963	10.391234958525118	IGFBP3
KEGG_2021_Human	Adherens junction	1/71	0.1600969854744459	0.3339444092514503	0	0	5.916964285714286	10.839733535825491	TGFBR1
KEGG_2021_Human	Adipocytokine signaling pathway	1/69	0.1559518351617717	0.3339444092514503	0	0	6.091605392156863	11.319470289022188	TNFRSF1A
KEGG_2021_Human	Progesterone-mediated oocyte maturation	1/100	0.21800735103248	0.3467176817337871	0	0	4.177609427609427	6.363445371866637	ADCY2
KEGG_2021_Human	Hematopoietic cell lineage	1/99	0.2160771886111481	0.3467176817337871	0	0	4.2204506802721085	6.466235125579845	ITGA6
KEGG_2021_Human	Inflammatory mediator regulation of TRP channels	1/98	0.214142359503524	0.3467176817337871	0	0	4.264175257731959	6.571581270407724	ADCY2
KEGG_2021_Human	Glycerophospholipid metabolism	1/98	0.214142359503524	0.3467176817337871	0	0	4.264175257731959	6.571581270407724	GPCPD1
KEGG_2021_Human	Choline metabolism in cancer	1/98	0.214142359503524	0.3467176817337871	0	0	4.264175257731959	6.571581270407724	GPCPD1
KEGG_2021_Human	Circadian entrainment	1/97	0.212202852644482	0.3467176817337871	0	0	4.308810763888889	6.679572779011756	ADCY2
KEGG_2021_Human	Melanogenesis	1/101	0.2199328578162082	0.3467176817337871	0	0	4.135625	6.263126855504786	ADCY2
KEGG_2021_Human	Rheumatoid arthritis	1/93	0.204397826110705	0.3467176817337871	0	0	4.49705615942029	7.139917855205284	TNFSF13B
