Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	4/80	2.147394121201769e-05	0.0091940929585434	0	0	28.28307254623044	304.0054245457498	TCF7L2;SCG2;TGFBR1;HSPA1B
GO_Biological_Process_2021	regulation of type B pancreatic cell apoptotic process (GO:2000674)	2/5	4.084035796971542e-05	0.0091940929585434	0	0	341.12820512820514	3447.38699212753	NEUROD1;TCF7L2
GO_Biological_Process_2021	negative regulation of epithelial cell apoptotic process (GO:1904036)	3/37	5.918943964727526e-05	0.0091940929585434	0	0	46.26547987616099	450.3836859990114	NEUROD1;TCF7L2;SCG2
GO_Biological_Process_2021	positive regulation of epithelial to mesenchymal transition (GO:0010718)	3/42	8.683120085209544e-05	0.0101158348992691	0	0	40.32388663967611	377.0906221007877	COL1A1;TCF7L2;TGFBR1
GO_Biological_Process_2021	positive regulation of epithelial cell proliferation (GO:0050679)	4/123	0.0001156754152436028	0.0107809487007037	0	0	18.02407449466273	163.383232413654	NOTCH2;TCF7L2;SCG2;TGFBR1
GO_Biological_Process_2021	regulation of extrinsic apoptotic signaling pathway (GO:2001236)	3/64	0.00030542911569196075	0.0237216613187422	0	0	25.75237273511648	208.4343698883337	TCF7L2;SCG2;TGFBR1
GO_Biological_Process_2021	carbohydrate homeostasis (GO:0033500)	3/70	0.0003978799529751688	0.0264874368694898	0	0	23.439120188531028	183.51331528655905	NEUROD1;TCF7L2;BACE2
GO_Biological_Process_2021	negative regulation of apoptotic signaling pathway (GO:2001234)	3/78	0.0005467144208739558	0.0283144637186778	0	0	20.930526315789475	157.22140604885882	TCF7L2;SCG2;TGFBR1
GO_Biological_Process_2021	regulation of cellular response to growth factor stimulus (GO:0090287)	2/17	0.0005468458658113756	0.0283144637186778	0	0	68.18461538461538	512.1580727660178	PCSK6;FSTL1
GO_Biological_Process_2021	collagen fibril organization (GO:0030199)	3/89	0.000803474902271305	0.031201608704869	0	0	18.24326805385557	130.0118284610953	COL1A1;COL4A1;TGFBR1
GO_Biological_Process_2021	glucose homeostasis (GO:0042593)	3/86	0.0007271534271965667	0.031201608704869	0	0	18.90551680405834	136.6183173401744	NEUROD1;TCF7L2;BACE2
GO_Biological_Process_2021	regulation of protein modification by small protein conjugation or removal (GO:1903320)	2/20	0.0007610076105649785	0.031201608704869	0	0	56.81196581196581	407.9591818331578	TGFBR1;HSPA1B
GO_Biological_Process_2021	response to hexose (GO:0009746)	2/25	0.0011938231616913	0.0427939687190905	0	0	44.45039018952063	299.1775464324702	NEUROD1;TCF7L2
GO_Biological_Process_2021	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	2/31	0.0018360888409485	0.0585011373255774	0	0	35.243147656940764	222.03597482014476	PCSK6;FSTL1
GO_Biological_Process_2021	positive regulation of cell differentiation (GO:0045597)	4/258	0.0018830838194928	0.0585011373255774	0	0	8.38689082783571	52.62643592147775	NEUROD1;COL1A1;IGFBP3;TGFBR1
GO_Biological_Process_2021	endothelial cell migration (GO:0043542)	2/39	0.0028957333524111	0.0843382338889748	0	0	27.61191961191961	161.37833034780846	FSTL1;SCG2
GO_Biological_Process_2021	epithelial cell migration (GO:0010631)	2/41	0.0031961694119496	0.0876126438805022	0	0	26.193293885601577	150.50148681155466	FSTL1;SCG2
GO_Biological_Process_2021	positive regulation of stress fiber assembly (GO:0051496)	2/44	0.0036730002408058	0.0950898951230847	0	0	24.31868131868132	136.34868006911373	TGFBR1;PFN2
GO_Biological_Process_2021	regulation of smooth muscle cell proliferation (GO:0048660)	2/49	0.0045365774690402	0.1057022550286376	0	0	21.726132024004364	117.22513584406856	TCF7L2;IGFBP3
GO_Biological_Process_2021	response to glucose (GO:0009749)	2/49	0.0045365774690402	0.1057022550286376	0	0	21.726132024004364	117.22513584406856	NEUROD1;TCF7L2
GO_Biological_Process_2021	positive regulation of actin filament bundle assembly (GO:0032233)	2/51	0.0049057810328166	0.1088616172044077	0	0	20.837257980115123	110.79880549073958	TGFBR1;PFN2
GO_Biological_Process_2021	regulation of osteoclast development (GO:2001204)	1/8	0.0162855052959698	0.1204610391733641	0	0	71.25714285714285	293.399847205648	NOTCH2
GO_Biological_Process_2021	regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway (GO:0070432)	1/6	0.0122385410272356	0.1204610391733641	0	0	99.77	439.3037926149688	HSPA1B
GO_Biological_Process_2021	negative regulation of amyloid precursor protein biosynthetic process (GO:0042985)	1/6	0.0122385410272356	0.1204610391733641	0	0	99.77	439.3037926149688	BACE2
GO_Biological_Process_2021	positive regulation of DNA-binding transcription factor activity (GO:0051091)	3/246	0.013892398564864	0.1204610391733641	0	0	6.405458089668616	27.39238715541041	NEUROD1;ROR1;HSPA1B
GO_Biological_Process_2021	sensory perception of mechanical stimulus (GO:0050954)	2/88	0.0140425321489203	0.1204610391733641	0	0	11.850327966607036	50.54952384380939	COL1A1;ROR1
GO_Biological_Process_2021	positive regulation of cardiac epithelial to mesenchymal transition (GO:0062043)	1/7	0.0142640489654407	0.1204610391733641	0	0	83.1375	353.3354529299383	TGFBR1
GO_Biological_Process_2021	positive regulation of microtubule nucleation (GO:0090063)	1/7	0.0142640489654407	0.1204610391733641	0	0	83.1375	353.3354529299383	HSPA1B
GO_Biological_Process_2021	negative regulation of ruffle assembly (GO:1900028)	1/7	0.0142640489654407	0.1204610391733641	0	0	83.1375	353.3354529299383	PFN2
GO_Biological_Process_2021	skin morphogenesis (GO:0043589)	1/7	0.0142640489654407	0.1204610391733641	0	0	83.1375	353.3354529299383	COL1A1
GO_Biological_Process_2021	marginal zone B cell differentiation (GO:0002315)	1/7	0.0142640489654407	0.1204610391733641	0	0	83.1375	353.3354529299383	NOTCH2
GO_Biological_Process_2021	collagen-activated tyrosine kinase receptor signaling pathway (GO:0038063)	1/7	0.0142640489654407	0.1204610391733641	0	0	83.1375	353.3354529299383	COL1A1
GO_Biological_Process_2021	sensory perception of sound (GO:0007605)	2/91	0.0149641276610933	0.1204610391733641	0	0	11.449150100835494	48.11046712779708	COL1A1;ROR1
GO_Biological_Process_2021	regulation of canonical Wnt signaling pathway (GO:0060828)	3/253	0.0149696041137102	0.1204610391733641	0	0	6.223894736842105	26.151147179392822	COL1A1;TCF7L2;RBMS3
GO_Biological_Process_2021	regulation of endothelial cell proliferation (GO:0001936)	2/92	0.0152770043834475	0.1204610391733641	0	0	11.321367521367522	47.33924045221591	SCG2;TGFBR1
GO_Biological_Process_2021	actin filament reorganization (GO:0090527)	1/8	0.0162855052959698	0.1204610391733641	0	0	71.25714285714285	293.399847205648	NEDD9
GO_Biological_Process_2021	regulation of epithelial to mesenchymal transition involved in endocardial cushion formation (GO:1905005)	1/8	0.0162855052959698	0.1204610391733641	0	0	71.25714285714285	293.399847205648	TGFBR1
GO_Biological_Process_2021	coronary vasculature morphogenesis (GO:0060977)	1/8	0.0162855052959698	0.1204610391733641	0	0	71.25714285714285	293.399847205648	TGFBR1
GO_Biological_Process_2021	ventricular trabecula myocardium morphogenesis (GO:0003222)	1/8	0.0162855052959698	0.1204610391733641	0	0	71.25714285714285	293.399847205648	TGFBR1
GO_Biological_Process_2021	ventricular compact myocardium morphogenesis (GO:0003223)	1/6	0.0122385410272356	0.1204610391733641	0	0	99.77	439.3037926149688	TGFBR1
GO_Biological_Process_2021	maintenance of DNA repeat elements (GO:0043570)	1/6	0.0122385410272356	0.1204610391733641	0	0	99.77	439.3037926149688	TCF7L2
GO_Biological_Process_2021	sequestering of BMP from receptor via BMP binding (GO:0038098)	1/8	0.0162855052959698	0.1204610391733641	0	0	71.25714285714285	293.399847205648	FSTL1
GO_Biological_Process_2021	heat acclimation (GO:0010286)	1/6	0.0122385410272356	0.1204610391733641	0	0	99.77	439.3037926149688	HSPA1B
GO_Biological_Process_2021	cellular heat acclimation (GO:0070370)	1/6	0.0122385410272356	0.1204610391733641	0	0	99.77	439.3037926149688	HSPA1B
GO_Biological_Process_2021	blood vessel morphogenesis (GO:0048514)	2/56	0.0058872481684318	0.1204610391733641	0	0	18.903133903133902	97.06696112383608	COL4A1;TGFBR1
GO_Biological_Process_2021	chordate embryonic development (GO:0043009)	2/58	0.0063029292367822	0.1204610391733641	0	0	18.226190476190474	92.34738283089771	COL1A1;TGFBR1
GO_Biological_Process_2021	actin cytoskeleton reorganization (GO:0031532)	2/63	0.0073989136389168	0.1204610391733641	0	0	16.728036990332072	82.07481029702832	THSD7B;NEDD9
GO_Biological_Process_2021	protein secretion (GO:0009306)	2/64	0.0076277365536019	0.1204610391733641	0	0	16.457402812241522	80.24570576240087	NEUROD1;SCG2
GO_Biological_Process_2021	regulation of stress fiber assembly (GO:0051492)	2/74	0.0100885355513959	0.1204610391733641	0	0	14.164529914529917	65.1052163056749	TGFBR1;PFN2
GO_Biological_Process_2021	amacrine cell differentiation (GO:0035881)	1/5	0.0102089737568119	0.1204610391733641	0	0	124.71875	571.7716333774792	NEUROD1
GO_Biological_Process_2021	positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation (GO:1905007)	1/5	0.0102089737568119	0.1204610391733641	0	0	124.71875	571.7716333774792	TGFBR1
GO_Biological_Process_2021	renal tubule development (GO:0061326)	1/5	0.0102089737568119	0.1204610391733641	0	0	124.71875	571.7716333774792	COL4A1
