Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Relaxin signaling pathway	4/129	0.00013903823318679034	0.013208632152745	0	0	17.15372972972973	152.33818434501856	COL1A1;COL4A1;GNB4;TGFBR1
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	3/100	0.0011263274602029	0.0535005543596421	0	0	16.16549104720564	109.74417204757296	COL1A1;COL4A1;TGFBR1
KEGG_2021_Human	Pathways in cancer	5/531	0.0044092602691393	0.1093914528719212	0	0	5.131231516687791	27.83204780572903	NOTCH2;TCF7L2;COL4A1;GNB4;TGFBR1
KEGG_2021_Human	Human papillomavirus infection	4/331	0.0046059559103966	0.1093914528719212	0	0	6.490453756508803	34.92127016727516	NOTCH2;COL1A1;TCF7L2;COL4A1
KEGG_2021_Human	Protein digestion and absorption	2/103	0.0189019906065635	0.1282635076873956	0	0	10.082762122366082	40.01332088636245	COL1A1;COL4A1
KEGG_2021_Human	Chagas disease	2/102	0.0185587789069547	0.1282635076873956	0	0	10.184102564102565	40.60210582978711	CCL3L3;TGFBR1
KEGG_2021_Human	Amoebiasis	2/102	0.0185587789069547	0.1282635076873956	0	0	10.184102564102565	40.60210582978711	COL1A1;COL4A1
KEGG_2021_Human	Morphine addiction	2/91	0.0149641276610933	0.1282635076873956	0	0	11.449150100835494	48.11046712779708	GNB4;GABRG1
KEGG_2021_Human	Rheumatoid arthritis	2/93	0.0155926996662773	0.1282635076873956	0	0	11.196393350239504	46.58766027879876	CCL3L3;TNFSF13B
KEGG_2021_Human	ECM-receptor interaction	2/88	0.0140425321489203	0.1282635076873956	0	0	11.850327966607036	50.54952384380939	COL1A1;COL4A1
KEGG_2021_Human	Colorectal cancer	2/86	0.0134424546275705	0.1282635076873956	0	0	12.133699633699631	52.28820471678212	TCF7L2;TGFBR1
KEGG_2021_Human	Lipid and atherosclerosis	3/215	0.0096706394151064	0.1282635076873956	0	0	7.353649453823237	34.111085812204124	CCL3L3;OLR1;HSPA1B
KEGG_2021_Human	Adherens junction	2/71	0.0093177201444047	0.1282635076873956	0	0	14.782608695652174	69.1210731290744	TCF7L2;TGFBR1
KEGG_2021_Human	GABAergic synapse	2/89	0.0143468791765999	0.1282635076873956	0	0	11.713527851458888	49.714822437239526	GNB4;GABRG1
KEGG_2021_Human	Cytokine-cytokine receptor interaction	3/295	0.0224115227176856	0.1419396438786759	0	0	5.317321557317952	20.19614463368013	CCL3L3;TGFBR1;TNFSF13B
KEGG_2021_Human	Apelin signaling pathway	2/137	0.0320931315122425	0.1776798831104443	0	0	7.53048433048433	25.898188389601827	GNB4;TGFBR1
KEGG_2021_Human	PI3K-Akt signaling pathway	3/354	0.0357229596789045	0.1776798831104443	0	0	4.410256410256411	14.69480530791112	COL1A1;COL4A1;GNB4
KEGG_2021_Human	Breast cancer	2/147	0.0364985340923611	0.1776798831104443	0	0	7.007603890362511	23.19855481852891	NOTCH2;TCF7L2
KEGG_2021_Human	Retrograde endocannabinoid signaling	2/148	0.0369513203223124	0.1776798831104443	0	0	6.95925535651563	22.952695192070877	GNB4;GABRG1
KEGG_2021_Human	Gastric cancer	2/149	0.0374062911811461	0.1776798831104443	0	0	6.91156462585034	22.710823383083277	TCF7L2;TGFBR1
KEGG_2021_Human	Hepatocellular carcinoma	2/168	0.0464522022622377	0.1838733006213576	0	0	6.114612295335187	18.76777153761396	TCF7L2;TGFBR1
KEGG_2021_Human	Wnt signaling pathway	2/166	0.0454651095935831	0.1838733006213576	0	0	6.18980612883052	19.13151511002125	TCF7L2;ROR1
KEGG_2021_Human	Hippo signaling pathway	2/163	0.0439995148379846	0.1838733006213576	0	0	6.306099697404045	19.697585903179565	TCF7L2;TGFBR1
KEGG_2021_Human	Cellular senescence	2/156	0.0406513889726385	0.1838733006213576	0	0	6.595071595071596	21.12218269948091	IGFBP3;TGFBR1
KEGG_2021_Human	Maturity onset diabetes of the young	1/26	0.0519877551216325	0.1975534694622038	0	0	19.934	58.93979602481205	NEUROD1
KEGG_2021_Human	Chemokine signaling pathway	2/192	0.0588940492064455	0.2091242257891579	0	0	5.335762483130904	15.110960592290969	CCL3L3;GNB4
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	2/193	0.0594353062769185	0.2091242257891579	0	0	5.307558061484763	14.982529692533292	TCF7L2;GNB4
KEGG_2021_Human	Focal adhesion	2/201	0.0638275270124115	0.212742746389343	0	0	5.09212730318258	14.011348409339494	COL1A1;COL4A1
KEGG_2021_Human	Diabetic cardiomyopathy	2/203	0.0649425225820099	0.212742746389343	0	0	5.040949100650593	13.783228528972014	COL1A1;TGFBR1
KEGG_2021_Human	Alanine, aspartate and glutamate metabolism	1/37	0.073180119912113	0.2242616577951851	0	0	13.835416666666667	36.17728305000016	RIMKLB
KEGG_2021_Human	Thyroid cancer	1/37	0.073180119912113	0.2242616577951851	0	0	13.835416666666667	36.17728305000016	TCF7L2
KEGG_2021_Human	Human cytomegalovirus infection	2/225	0.0776301886353813	0.2270764283615933	0	0	4.5385765206393005	11.599688872836888	CCL3L3;GNB4
KEGG_2021_Human	Nicotine addiction	1/40	0.0788791803782376	0.2270764283615933	0	0	12.76923076923077	32.43177702110549	GABRG1
KEGG_2021_Human	Endocytosis	2/252	0.0941671319942093	0.2484965983180525	0	0	4.042871794871795	9.552028809211736	TGFBR1;HSPA1B
KEGG_2021_Human	Salmonella infection	2/249	0.0922815548795222	0.2484965983180525	0	0	4.092598359804837	9.752297634754337	TCF7L2;PFN2
KEGG_2021_Human	Intestinal immune network for IgA production	1/48	0.0939100479402185	0.2484965983180525	0	0	10.591489361702129	25.05329843565195	TNFSF13B
KEGG_2021_Human	Legionellosis	1/57	0.1105338195977611	0.2781487469110772	0	0	8.885267857142857	19.569213763204104	HSPA1B
KEGG_2021_Human	Endometrial cancer	1/58	0.1123624338792015	0.2781487469110772	0	0	8.728947368421053	19.08170254409029	TCF7L2
KEGG_2021_Human	Notch signaling pathway	1/59	0.1141873803108633	0.2781487469110772	0	0	8.57801724137931	18.6135639334889	NOTCH2
KEGG_2021_Human	Basal cell carcinoma	1/63	0.1214506309346355	0.2819115984316185	0	0	8.022983870967742	16.914435115120845	TCF7L2
