Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	ECM-receptor interaction	3/88	0.0009568154100745104	0.0249166534085223	0	0	17.105595408895265	118.9163899042489	COL1A1;COL4A1;ITGA6
KEGG_2021_Human	Focal adhesion	4/201	0.0009813588732728196	0.0249166534085223	0	0	10.02994923857868	69.47316898127143	COL1A1;COL4A1;KDR;ITGA6
KEGG_2021_Human	PI3K-Akt signaling pathway	5/354	0.0010406260015228	0.0249166534085223	0	0	7.202630225552862	49.467180533479954	COL1A1;KITLG;COL4A1;KDR;ITGA6
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	3/100	0.0013842585226956	0.0249166534085223	0	0	14.980387226552676	98.60975682160374	COL1A1;COL4A1;TGFBR1
KEGG_2021_Human	Relaxin signaling pathway	3/129	0.0028623352105409	0.0412176270317898	0	0	11.515679442508713	67.43717167883595	COL1A1;COL4A1;TGFBR1
KEGG_2021_Human	MAPK signaling pathway	4/294	0.0039115849960332	0.0469390199523988	0	0	6.781379310344827	37.59469618335659	KITLG;MAP3K1;KDR;TGFBR1
KEGG_2021_Human	Rap1 signaling pathway	3/210	0.0110158273348947	0.1133056525874886	0	0	6.980911983032874	31.47289850266421	KITLG;KDR;PFN2
KEGG_2021_Human	Small cell lung cancer	2/92	0.0174684666608325	0.1413186877732352	0	0	10.511111111111113	42.54222889323376	COL4A1;ITGA6
KEGG_2021_Human	Hematopoietic cell lineage	2/99	0.0200485784197727	0.1413186877732352	0	0	9.74914089347079	38.11521227729213	KITLG;ITGA6
KEGG_2021_Human	Amoebiasis	2/102	0.0212003867195719	0.1413186877732352	0	0	9.455238095238096	36.43799007445939	COL1A1;COL4A1
KEGG_2021_Human	Protein digestion and absorption	2/103	0.0215903550764664	0.1413186877732352	0	0	9.361150400754362	35.904772758005585	COL1A1;COL4A1
KEGG_2021_Human	Growth hormone synthesis, secretion and action	2/119	0.0282270700029375	0.1565947748855341	0	0	8.074481074481074	28.80549994255848	MAP3K1;IGFBP3
KEGG_2021_Human	Pathways in cancer	4/531	0.0288850863655493	0.1565947748855341	0	0	3.686717267552182	13.067310767656997	KITLG;COL4A1;ITGA6;TGFBR1
KEGG_2021_Human	Platelet activation	2/124	0.0304489840055205	0.1565947748855341	0	0	7.741608118657299	27.03139359382692	COL1A1;PRKG2
KEGG_2021_Human	Human papillomavirus infection	3/331	0.036121856002706	0.1733849088129888	0	0	4.378643664485425	14.540850196714214	COL1A1;COL4A1;ITGA6
KEGG_2021_Human	Cellular senescence	2/156	0.0461970431225958	0.2078866940516813	0	0	6.123067408781695	18.8274494354999	IGFBP3;TGFBR1
KEGG_2021_Human	Hepatitis B	2/162	0.0494231090989238	0.209321403242501	0	0	5.891666666666667	17.718228151937588	MAP3K1;TGFBR1
KEGG_2021_Human	Transcriptional misregulation in cancer	2/192	0.0667005870142831	0.2668023480571324	0	0	4.953884711779448	13.412848568619582	BCL11B;IGFBP3
KEGG_2021_Human	Diabetic cardiomyopathy	2/203	0.073474860961714	0.2690274612971283	0	0	4.680170575692964	12.219045309178888	COL1A1;TGFBR1
KEGG_2021_Human	Proteoglycans in cancer	2/205	0.0747298503603134	0.2690274612971283	0	0	4.633591367581516	12.01895988272511	COL1A1;KDR
KEGG_2021_Human	Regulation of actin cytoskeleton	2/218	0.0830533368708954	0.2739441290734042	0	0	4.351851851851852	10.828592262917669	ITGA6;PFN2
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	2/219	0.0837051505502068	0.2739441290734042	0	0	4.331577792407286	10.744282786126227	MAP3K1;TGFBR1
KEGG_2021_Human	Ras signaling pathway	2/232	0.0923207634680031	0.2890041291172273	0	0	4.084057971014492	9.73021178230795	KITLG;KDR
KEGG_2021_Human	Chagas disease	1/102	0.2016566052868001	0.3299835359238548	0	0	4.571724614321897	7.320195172642484	TGFBR1
KEGG_2021_Human	Melanogenesis	1/101	0.1998874257748013	0.3299835359238548	0	0	4.617674418604651	7.434460163948317	KITLG
KEGG_2021_Human	Circadian entrainment	1/97	0.1927723134746481	0.3299835359238548	0	0	4.811046511627907	7.920163715413833	PRKG2
KEGG_2021_Human	Dilated cardiomyopathy	1/96	0.1909838962017475	0.3299835359238548	0	0	4.861933904528764	8.049253281298896	ITGA6
KEGG_2021_Human	TGF-beta signaling pathway	1/94	0.1873954374632241	0.3299835359238548	0	0	4.9669917479369845	8.317397831132554	TGFBR1
KEGG_2021_Human	GnRH signaling pathway	1/93	0.185595379581594	0.3299835359238548	0	0	5.021233569261881	8.456693054763749	MAP3K1
KEGG_2021_Human	Salivary secretion	1/93	0.185595379581594	0.3299835359238548	0	0	5.021233569261881	8.456693054763749	PRKG2
KEGG_2021_Human	Hypertrophic cardiomyopathy	1/90	0.1801717933432987	0.3299835359238548	0	0	5.191272537235433	8.89703376024248	ITGA6
