Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	blood vessel morphogenesis (GO:0048514)	4/56	7.539185273515438e-06	0.0041239343446129	0	0	37.34146341463415	440.4573644645389	LOX;COL4A1;KDR;TGFBR1
GO_Biological_Process_2021	collagen fibril organization (GO:0030199)	4/89	4.748095319244478e-05	0.0129860406981336	0	0	22.80631276901004	227.04099237484283	COL1A1;LOX;COL4A1;TGFBR1
GO_Biological_Process_2021	negative regulation of epithelial cell apoptotic process (GO:1904036)	3/37	7.838949822515351e-05	0.0142930185097196	0	0	41.85084033613445	395.6503361116106	NEUROD1;KDR;SCG2
GO_Biological_Process_2021	extracellular structure organization (GO:0043062)	5/216	0.00012057798659689402	0.0164890396671252	0	0	11.696682464454977	105.5416668929597	COL1A1;LOX;COL4A1;KDR;TGFBR1
GO_Biological_Process_2021	positive regulation of cell differentiation (GO:0045597)	5/258	0.0002754458867379383	0.0301337800091304	0	0	9.734189723320158	79.79231510345004	NEUROD1;COL1A1;IGFBP3;KDR;TGFBR1
GO_Biological_Process_2021	branching involved in blood vessel morphogenesis (GO:0001569)	2/14	0.0004427775949754095	0.0403665574085915	0	0	77.2984496124031	596.9328677908948	COL4A1;KDR
GO_Biological_Process_2021	extracellular matrix organization (GO:0030198)	5/300	0.0005489880988824413	0.0421225788592948	0	0	8.330508474576272	62.54074084739814	COL1A1;LOX;COL4A1;KDR;TGFBR1
GO_Biological_Process_2021	positive regulation of positive chemotaxis (GO:0050927)	2/17	0.0006588989781617781	0.0421225788592948	0	0	61.82945736434109	452.8970858838778	KDR;SCG2
GO_Biological_Process_2021	positive regulation of endothelial cell proliferation (GO:0001938)	3/77	0.0006930588843394041	0.0421225788592948	0	0	19.19015444015444	139.59677487304688	KDR;SCG2;TGFBR1
GO_Biological_Process_2021	negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	3/80	0.0007747702844811223	0.0423799345611173	0	0	18.43970315398887	132.08256069375415	SCG2;TGFBR1;HSPA1B
GO_Biological_Process_2021	regulation of protein modification by small protein conjugation or removal (GO:1903320)	2/20	0.0009165786855226654	0.0455789582709907	0	0	51.51679586563308	360.3529107334306	TGFBR1;HSPA1B
GO_Biological_Process_2021	regulation of endothelial cell proliferation (GO:0001936)	3/92	0.0011621548884364	0.0529748936645629	0	0	15.9438202247191	107.7400356853426	KDR;SCG2;TGFBR1
GO_Biological_Process_2021	external encapsulating structure organization (GO:0045229)	4/217	0.0014175806002834	0.0592275784921483	0	0	9.042482537501431	59.307867590561386	COL1A1;LOX;COL4A1;KDR
GO_Biological_Process_2021	positive regulation of cell motility (GO:2000147)	4/221	0.0015158795226509	0.0592275784921483	0	0	8.874002472743621	57.607889549008895	COL1A1;KDR;NEDD9;TGFBR1
GO_Biological_Process_2021	negative regulation of endothelial cell apoptotic process (GO:2000352)	2/27	0.0016763974620094	0.0611326274479453	0	0	37.07906976744186	236.97634520267167	KDR;SCG2
