Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Maturity onset diabetes of the young	2/26	0.0014865393689923	0.1106769614742504	0	0	39.54761904761905	257.5065871609359	NEUROD1;NR5A2
KEGG_2021_Human	Growth hormone synthesis, secretion and action	3/119	0.0022769931404175	0.1106769614742504	0	0	12.514718250630782	76.15080288169172	MAP3K1;IGFBP3;ADCY2
KEGG_2021_Human	Relaxin signaling pathway	3/129	0.0028623352105409	0.1106769614742504	0	0	11.515679442508713	67.43717167883595	COL4A1;ADCY2;TGFBR1
KEGG_2021_Human	MAPK signaling pathway	4/294	0.0039115849960332	0.1131630442017287	0	0	6.781379310344827	37.59469618335659	MAP3K1;KDR;TGFBR1;HSPA1B
KEGG_2021_Human	Cellular senescence	3/156	0.0048777174224883	0.1131630442017287	0	0	9.470588235294118	50.41267902844249	IGFBP3;TGFBR1;ZFP36L1
KEGG_2021_Human	Focal adhesion	3/201	0.0097858701800713	0.1639496572980231	0	0	7.301552106430155	33.78293630070741	COL4A1;KDR;ITGA6
KEGG_2021_Human	Rap1 signaling pathway	3/210	0.0110158273348947	0.1639496572980231	0	0	6.980911983032874	31.47289850266421	KDR;ADCY2;PFN2
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	3/219	0.0123316279169576	0.1639496572980231	0	0	6.686991869918699	29.39326082879529	MAP3K1;ADCY2;TGFBR1
KEGG_2021_Human	ECM-receptor interaction	2/88	0.0160631707541528	0.1639496572980231	0	0	11.00221483942414	45.452637742602086	COL4A1;ITGA6
KEGG_2021_Human	Small cell lung cancer	2/92	0.0174684666608325	0.1639496572980231	0	0	10.511111111111113	42.54222889323376	COL4A1;ITGA6
KEGG_2021_Human	GnRH signaling pathway	2/93	0.0178277121755614	0.1639496572980231	0	0	10.395081109366824	41.86100377453572	MAP3K1;ADCY2
KEGG_2021_Human	Endocytosis	3/252	0.0179049196749066	0.1639496572980231	0	0	5.791066705847781	23.295606836407902	TGFBR1;IGF2R;HSPA1B
KEGG_2021_Human	Dilated cardiomyopathy	2/96	0.0189242213416379	0.1639496572980231	0	0	10.061803444782168	39.91831983611252	ADCY2;ITGA6
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	2/100	0.0204294838615153	0.1639496572980231	0	0	9.649173955296405	37.54277574025534	COL4A1;TGFBR1
KEGG_2021_Human	Longevity regulating pathway	2/102	0.0212003867195719	0.1639496572980231	0	0	9.455238095238096	36.43799007445939	ADCY2;HSPA1B
KEGG_2021_Human	Toxoplasmosis	2/112	0.0252329903846596	0.1829391802887823	0	0	8.591341991341992	31.612727751586725	ITGA6;HSPA1B
KEGG_2021_Human	Pathways in cancer	4/531	0.0288850863655493	0.1970982363766899	0	0	3.686717267552182	13.067310767656997	COL4A1;ADCY2;ITGA6;TGFBR1
KEGG_2021_Human	Apelin signaling pathway	2/137	0.0365375827110866	0.223071557604529	0	0	6.991534391534391	23.137880991511924	ADCY2;TGFBR1
KEGG_2021_Human	Estrogen signaling pathway	2/137	0.0365375827110866	0.223071557604529	0	0	6.991534391534391	23.137880991511924	ADCY2;HSPA1B
KEGG_2021_Human	Phospholipase D signaling pathway	2/148	0.0420242819530188	0.2359361082401186	0	0	6.461187214611872	20.47878253752502	ADCY2;DGKH
KEGG_2021_Human	PI3K-Akt signaling pathway	3/354	0.0427125713193318	0.2359361082401186	0	0	4.08692933083177	12.887158922039312	COL4A1;KDR;ITGA6
KEGG_2021_Human	Hepatitis B	2/162	0.0494231090989238	0.2605945752488712	0	0	5.891666666666667	17.718228151937588	MAP3K1;TGFBR1
KEGG_2021_Human	Bile secretion	1/90	0.1801717933432987	0.3298872513211926	0	0	5.191272537235433	8.89703376024248	ADCY2
KEGG_2021_Human	Hypertrophic cardiomyopathy	1/90	0.1801717933432987	0.3298872513211926	0	0	5.191272537235433	8.89703376024248	ITGA6
KEGG_2021_Human	Morphine addiction	1/91	0.1819835657775782	0.3298872513211926	0	0	5.133333333333334	8.74637298872691	ADCY2
KEGG_2021_Human	Salivary secretion	1/93	0.185595379581594	0.3298872513211926	0	0	5.021233569261881	8.456693054763749	ADCY2
KEGG_2021_Human	Rheumatoid arthritis	1/93	0.185595379581594	0.3298872513211926	0	0	5.021233569261881	8.456693054763749	TNFSF13B
KEGG_2021_Human	TGF-beta signaling pathway	1/94	0.1873954374632241	0.3298872513211926	0	0	4.9669917479369845	8.317397831132554	TGFBR1
KEGG_2021_Human	Staphylococcus aureus infection	1/95	0.1891916069089054	0.3298872513211926	0	0	4.913904007916873	8.181625526488316	MASP1
KEGG_2021_Human	Phosphatidylinositol signaling system	1/97	0.1927723134746481	0.3298872513211926	0	0	4.811046511627907	7.920163715413833	DGKH
KEGG_2021_Human	Aldosterone synthesis and secretion	1/98	0.1945568669523718	0.3298872513211926	0	0	4.761208343322944	7.794244625059676	ADCY2
KEGG_2021_Human	Choline metabolism in cancer	1/98	0.1945568669523718	0.3298872513211926	0	0	4.761208343322944	7.794244625059676	DGKH
KEGG_2021_Human	Glycerophospholipid metabolism	1/98	0.1945568669523718	0.3298872513211926	0	0	4.761208343322944	7.794244625059676	DGKH
KEGG_2021_Human	Th17 cell differentiation	1/107	0.2104453154980022	0.3298872513211926	0	0	4.354980254497587	6.787364952351219	TGFBR1
KEGG_2021_Human	Hematopoietic cell lineage	1/99	0.1963375647234362	0.3298872513211926	0	0	4.7123872804935925	7.671388710729669	ITGA6
KEGG_2021_Human	Progesterone-mediated oocyte maturation	1/100	0.1981144149654997	0.3298872513211926	0	0	4.664552501761804	7.551493311263548	ADCY2
