mirna	Astrocyte	B_cell	CD4_T	CD8_T	Microglia	Monocyte	NK_cell	Oligodendrocyte	T_cell	Th17	Treg
hsa-let-7a-2-3p	2.4779288651188836e-05	3.48491121258121e-05	2.1320011001080275e-05	2.9459370125550777e-05	3.479439692455344e-05	3.3540636650286615e-05	2.558944652264472e-05	1.2078541658411268e-05	4.912195072392933e-05	1.4450160051637795e-05	2.003686131502036e-05
hsa-let-7a-3p	0.00016462831990793347	0.000134634057758376	0.00031325159943662584	0.00033913811785168946	0.00019808684010058641	0.00014330058183986694	0.000240306748310104	0.00010267783363815397	6.619234045501798e-05	0.00021400039258878678	0.0001449797855457291
hsa-let-7a-5p	2.3526294171460904e-05	2.5432067559449933e-05	3.264263068558648e-05	9.66379520832561e-05	3.253797331126407e-05	3.100580215686932e-05	5.3772757382830605e-05	1.959959809028078e-05	2.3102571503841318e-05	2.2112042643129826e-05	2.574182508396916e-05
hsa-let-7b-3p	8.705014624865726e-05	3.559784818207845e-05	9.864988533081487e-05	0.00017968250904232264	9.47199878282845e-05	7.537061901530251e-05	8.30495118862018e-05	4.784509292221628e-05	5.537510878639296e-05	0.00010564038529992104	4.859979162574746e-05
hsa-let-7b-5p	8.102833817247301e-05	0.00020841139485128224	0.00029424618696793914	0.00039891040069051087	0.000252300756983459	0.0002719922340475023	1.6868903912836686e-05	0.00018190068658441305	3.4639138903003186e-05	3.1927225791150704e-05	0.0001307315833400935
hsa-let-7c-3p	3.5764602216659114e-05	2.385583138675429e-05	4.8588899517199025e-05	4.625771180144511e-05	4.55361332569737e-05	2.854136073437985e-05	3.2029449357651174e-05	2.0829080312978476e-05	4.860582703258842e-05	3.54380244971253e-05	3.1324627343565226e-05
hsa-let-7c-5p	2.1199053662712686e-05	3.672538514365442e-05	5.300664997776039e-05	6.926862988620996e-05	4.141320823691785e-05	4.236333552398719e-05	1.4357268810272217e-05	3.585425656638108e-05	2.017183942371048e-05	1.3174563719076104e-05	2.279576256114524e-05
hsa-let-7d-3p	5.603397767117713e-06	1.7519082575745415e-06	5.462022272695322e-06	4.109353085368639e-06	3.467767783149611e-06	1.312552967647207e-06	1.9976614566985518e-06	5.245510692475364e-06	5.546643933485029e-06	4.324312612880021e-06	3.6110936889599543e-06
hsa-let-7d-5p	2.110031527990941e-05	2.9104514396749437e-05	3.887030834448524e-05	0.00015630126290488988	3.501137689454481e-05	4.126960629946552e-05	8.071577758528292e-05	2.9300552341737784e-05	7.183031993918121e-05	3.4016014978988096e-05	4.0392809751210734e-05
hsa-let-7e-5p	6.609321280848235e-05	6.250503065530211e-05	7.001221820246428e-05	0.00016899134789127856	8.572492515668273e-05	6.316397775663063e-05	0.00014641039888374507	7.932777953101322e-05	6.642554217251018e-05	9.423722804058343e-05	4.297486520954408e-05
hsa-let-7f-1-3p	9.653317829361185e-05	4.050512143294327e-05	0.00016838047304190695	0.0002188153302995488	0.0001226544991368428	0.00011139863636344671	0.0001341471797786653	8.55768084875308e-05	7.041687786113471e-05	0.0001570521853864193	9.101648902287707e-05
hsa-let-7f-2-3p	8.844074181979522e-05	0.00010219390969723463	0.0003375998348928988	0.00021246247342787683	7.424864452332258e-05	6.242610106710345e-05	0.00016561424126848578	0.00010597563232295215	4.213007923681289e-05	6.763824785593897e-05	0.00010146076238015667
hsa-let-7f-5p	4.5992856030352414e-05	1.5744681149953976e-05	2.4176842998713255e-05	0.00015853696095291525	3.0828283342998475e-05	4.8428271838929504e-05	0.000213621198781766	4.9723603297024965e-05	2.0317162125138566e-05	6.081028186599724e-05	5.851728201378137e-05
hsa-let-7g-3p	1.3399262570601422e-05	1.2425775821611751e-05	2.5607158022467047e-05	2.0958415916538797e-05	1.2202921425341628e-05	7.591670964757213e-06	2.174722612835467e-05	6.43705652692006e-06	1.7058056982932612e-05	1.639822221477516e-05	1.618357237020973e-05
hsa-let-7g-5p	5.337438051356003e-05	0.00010946156544378027	7.129090226953849e-05	0.0004642492567654699	8.096543024294078e-05	9.157781460089609e-05	0.000249246833845973	0.00016794177645351738	5.18145170644857e-05	0.00019516312750056386	7.995250780368224e-05
hsa-let-7i-5p	5.6586108257761225e-05	3.9053567888913676e-05	4.651806011679582e-05	0.00017048617883119732	6.426580512197688e-05	4.365087806945667e-05	6.851392390672117e-05	2.834024780895561e-05	3.5063247196376324e-05	5.046099977334961e-05	3.5612698411569e-05
