mirna	target_gene	score	cell_type
hsa-miR-3680-3p	SOX6	0.96989286	Astrocyte
hsa-miR-3680-3p	RBMS3	0.9557634	Astrocyte
hsa-miR-3180-5p	PCSK6	0.9526976	Astrocyte
hsa-miR-4659b-3p	IGDCC4	0.94297296	Astrocyte
hsa-miR-3180-5p	MAMDC2	0.94293517	Astrocyte
hsa-miR-3180-5p	ZFHX4	0.94166267	Astrocyte
hsa-miR-3180-5p	BACE2	0.93673927	Astrocyte
hsa-miR-3180-5p	BACH2	0.9360071	Astrocyte
hsa-miR-3180-5p	OLR1	0.9338541	Astrocyte
hsa-miR-3680-3p	PAG1	0.9252602	Astrocyte
hsa-miR-3680-3p	SEMA6A	0.92245954	Astrocyte
hsa-miR-4659b-3p	CYTL1	0.9184005	Astrocyte
hsa-miR-4769-3p	RASSF3	0.9162576	Astrocyte
hsa-miR-3180-5p	PFN2	0.9088612	Astrocyte
hsa-miR-3180-5p	NEDD9	0.90816194	Astrocyte
hsa-miR-140-5p	TGFBR1	0.9078973	Astrocyte
hsa-miR-3180-5p	ABTB2	0.90095323	Astrocyte
hsa-miR-146a-3p	MASP1	0.90041083	Astrocyte
hsa-miR-4659b-3p	NEUROD1	0.9003486	Astrocyte
hsa-miR-19b-3p	ROR1	0.9002024	Astrocyte
hsa-miR-19b-3p	SOX6	0.8988278	Astrocyte
hsa-miR-3180-5p	NXPH1	0.896033	Astrocyte
hsa-miR-3680-3p	MAP3K1	0.8954509	Astrocyte
hsa-miR-3163	IGFBP3	0.8947471	Astrocyte
hsa-miR-1283	HSPA1B	0.8947014	Astrocyte
hsa-miR-4659b-3p	PLXDC2	0.8943622	Astrocyte
hsa-miR-3680-3p	PALLD	0.89342535	Astrocyte
hsa-miR-4659b-3p	TNFSF13B	0.8924447	Astrocyte
hsa-miR-4659b-3p	RBMS3	0.89220226	Astrocyte
hsa-miR-3680-3p	ZFP36L1	0.891416	Astrocyte
hsa-miR-4659b-3p	COL4A1	0.88874197	Astrocyte
hsa-miR-3180-5p	ADCY2	0.8874241	Astrocyte
hsa-miR-3680-3p	BACH2	0.8869078	Astrocyte
