paper	venue_year	task	cv_over_edges	testedges_removed_from_encoder_graph	negative_sampling	model_free_baseline	mf_comparator	mf_margin	counted_as_paper	headline_auroc	url	evidence_quote
MGCNSS	Briefings in Bioinformatics 2024	miRNA-disease	yes	no	distance-based selection (paper's own contribution)	no			yes	0.9874	https://academic.oup.com/bib/article/25/3/bbae168/7645839	MGCNSS divides the positive and selected negative samples into five folders randomly and performs the 5-CV experiment; graph structure from similarity matrices remains unchanged
NIMGSA	2022	miRNA-disease	unclear	unclear	all unlabeled pairs treated as negative (implicit: reconstruction loss over the full matrix)	yes	SPM (structural perturbation method)	0.0394	yes	0.9354	https://pmc.ncbi.nlm.nih.gov/articles/PMC8774034/	We adopt five-fold cross validation to evaluate the performance - no statement on whether held-out associations are masked from the adjacency matrix
HybridGNN	Bioinformatics 2026	miRNA-disease	yes	yes	uniform random from unknown pairs	no			yes	0.9715	https://academic.oup.com/bioinformatics/article/42/5/btag171/8586881	"edges were split into 80% training, 10% validation, and 10% test sets using PyG RandomLinkSplit; ""negative edges are dynamically sampled at a 20% (0.2 ratio)"""
HGDTI	BMC Bioinformatics 2022	drug-target	yes	unclear	reliable score-filtered (non-uniform)	no			yes	0.979	https://pmc.ncbi.nlm.nih.gov/articles/PMC9004085/	10-fold CV; heterogeneous network retains held-out test interactions during message passing; negatives filtered by reliability score > 0.1
NGCN	2024	drug-target	yes	yes	uniform random from unknown pairs, 1:10	yes	HNM (heterogeneous network model, Wang et al. Bioinformatics 2014)	0.017	yes	0.910	https://pmc.ncbi.nlm.nih.gov/articles/PMC10955156/	"10-fold cross-validation on all positive pairs and a set of randomly sampled negative pairs; ""a drug-target pair with an unknown interaction is generally viewed as a negative sample"""
kmerPMTF	PeerJ 2024	plant miRNA-target	yes	unclear	all unlabeled pairs, count-matched	no			yes	0.80-0.91	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11122044/	"similarity matrices computed only from the training split before constructing the heterogeneous graph; ""All such unspecified miRNA-target associations constitute the negative dataset"""
DTI field convention	multiple	drug-target	yes	NA	unlabeled pairs as negatives, typically 10x positives	NA			no	NA	https://pmc.ncbi.nlm.nih.gov/articles/PMC10955156/	a drug-target pair with an unknown interaction is generally viewed as a negative sample
Orro (single-author)	Biomedicines 2026	miRNA-disease	no	yes	uniform random from unannotated pairs	yes	TCRWMDA (three-layer heterogeneous network + unbalanced random walk); also WBSMDA and ICFMDA	5.01	yes	~0.98	https://pmc.ncbi.nlm.nih.gov/articles/PMC12938369/	"For the separation of miRNA-disease edges, all associations involving validation miRNAs are removed from the training graph, and symmetrically, all associations involving training miRNAs are removed from the validation graph.; ""Negative samples are not defined as all unknown associations, but are instead randomly sampled from miRNA-disease pairs not reported in HMDD"""
CoupleMDA (Li et al.)	IJMS 2025	miRNA-disease	yes	yes	uniform random, 1:1	no			yes	0.9536 (Table 3)	https://pmc.ncbi.nlm.nih.gov/articles/PMC12112494/	"we randomly divided all existing edges (positive samples) in the dataset into training, validation, and test sets with a ratio of 75:10:15; ""Negative samples were sampled from node pairs that did not have any existing edges in the graph at a 1:1 ratio.""; ""AUC: 95.36 +/- 0.35"" vs. NCNC baseline 94.96% (Table 3)"
GONNMDA (Zeng et al.)	Genes 2025	miRNA-disease	yes	unclear	uniform random, 1:1	no			yes	0.9541	https://pmc.ncbi.nlm.nih.gov/articles/PMC12027447/	"we perform both five-fold and ten-fold cross-validation; ""selected an equal number of non-associated pairs through random negative sampling as negative samples"""
